차량 모델,차량 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,국가명,연도
Kona (OS),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Kona (EV),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Kona (Ose- EV),레저용 차량,1,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Kona (HEV),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Kona N,레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Kona (SX2),레저용 차량,931,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Kona (SX2 HEV),레저용 차량,2593,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Kona (SXe_EV),레저용 차량,1927,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Tucson (TLe),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Tucson (NX4e),레저용 차량,2930,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Tucson (NX4e HEV),레저용 차량,4042,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Tucson (NX4e PHEV),레저용 차량,1477,0,0,0,0,0,0,0,0,0,0,0,EU,2025
NEXO (FE),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
IONIQ 5 (NE),레저용 차량,1210,0,0,0,0,0,0,0,0,0,0,0,EU,2025
IONIQ 5 (NE N),레저용 차량,190,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Santa-Fe (DM),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Santa-Fe (TM),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Santa Fe HEV (TM HEV),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Santa Fe PHEV (TM PHEV),레저용 차량,39,0,0,0,0,0,0,0,0,0,0,0,EU,2025
SantaFe (MX5),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Santa Fe HEV (MX5 HEV),레저용 차량,483,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Santa Fe PHEV (MX5 PHEV),레저용 차량,483,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Palisade (LX2),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
GV60 (JW EV),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
GV70 (JK),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
GV70 EV (JK EV),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
GV80 (JX),레저용 차량,0,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Light CV,경상용차,148,0,0,0,0,0,0,0,0,0,0,0,EU,2025
Accent,승용차,16,12,2,0,0,0,1,0,0,0,0,0,US,2023
Veloster,승용차,3,1,1,1,0,0,0,0,0,0,0,0,US,2023
Elantra,승용차,8655,10371,13447,13236,15605,13424,11898,11262,9405,9456,8813,8577,US,2023
IONIQ,승용차,0,0,0,0,0,0,0,0,0,0,0,0,US,2023
Sonata,승용차,4873,4307,5310,4689,4321,3834,3209,3397,3401,2460,2321,3222,US,2023
G70,승용차,804,719,1057,1139,1156,1353,1310,1394,1751,982,684,897,US,2023
G80 (RG3),승용차,226,172,296,383,370,768,400,186,300,369,322,378,US,2023
G80 (RG3 EV),승용차,33,32,315,94,120,119,227,107,137,103,16,26,US,2023
G90,승용차,105,111,140,120,113,114,108,119,92,68,125,130,US,2023
Venue,레저용 차량,2441,2537,3625,2648,2413,2695,2581,2197,1732,1757,1716,1667,US,2023
Kona,레저용 차량,5826,6080,7314,6831,5613,6261,6123,5777,6693,7927,6991,7680,US,2023
Tucson,레저용 차량,12028,14031,20111,18676,18038,17707,17534,16242,18813,15638,21382,19424,US,2023
Santa Cruz(Tucson O/B),레저용 차량,2614,2868,3825,3590,3526,3627,2903,3079,3051,2555,2396,2641,US,2023
Nexo,레저용 차량,16,28,21,16,16,8,34,18,16,23,20,25,US,2023
IONIQ 5,레저용 차량,1548,2074,2114,2323,2446,3136,4135,3572,3958,2979,2372,3261,US,2023
IONIQ 6,레저용 차량,0,0,222,890,971,1162,1745,1663,1665,1239,1386,2056,US,2023
