공장명(국가),차량 모델,판매 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
HAOS,i10 (AC3),수출용,7009,4737,6268,6413,6465,4543,5663,4025,6668,5914,5918,4990,2023
HAOS,i20 (BC3),수출용,7252,7530,7921,5786,8105,6318,7607,3314,5089,5832,6785,7238,2023
HAOS,Bayon (BC3 CUV),수출용,5240,3608,3981,3375,3458,2817,4051,2405,6193,5595,4312,4754,2023
HAOS,i20 N (BC3 N),수출용,525,435,710,486,442,626,876,771,770,659,885,836,2023
BHMC, Reina (CB),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2023
BHMC, Verna (YC),내수용,0,0,0,0,0,0,0,0,0,0,0,1,2023
BHMC, Celesta (ID),내수용,764,1116,1560,165,0,0,0,0,0,0,0,2,2023
BHMC, Elantra (CN7c),내수용,5212,6891,12425,7340,9612,10598,5098,9823,10566,9526,11775,14579,2023
BHMC, La festa (SQ),내수용,398,614,519,159,124,396,48,71,101,67,34,23,2023
BHMC, La festa EV (SQ EV),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2023
BHMC, Mistra (DU2),내수용,8,1,1,2,2,1,0,20,0,0,0,1,2023
BHMC, Mistra EV (DU2 EV),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2023
BHMC, Sonata (DN8c),내수용,165,224,212,170,293,298,145,306,188,144,155,174,2023
BHMC, Custo (KU),내수용,447,463,788,1348,1121,1279,1342,1421,1642,1156,680,1095,2023
BHMC, ix25 (SU2),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2023
BHMC, Tucson (NX4c),내수용,3874,3404,6019,3372,5417,6099,2759,4588,5699,4468,5241,7540,2023
BHMC, Tucson HEV (NX4c HEV),내수용,58,11,8,7,7,3,1,10,3,0,2,1,2023
BHMC, ix35 (NU),내수용,4031,4123,5115,2952,544,702,13,0,1,0,0,6,2023
BHMC, ix35 (NU2),내수용,0,0,0,0,1905,4452,2909,3660,3870,3333,3632,4855,2023
BHMC, Santa Fe (TMc),내수용,71,156,366,488,237,190,215,109,264,125,79,108,2023
BHMC, Custo (KU),수출용,0,0,0,3,0,0,0,171,60,8,63,140,2023
HMMA,Elantra (CN7a),내수용,1781,2218,3005,2983,3021,215,6,0,0,0,0,0,2023
HMMA,Sonata (DN8a),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2023
HMMA,Tucson (NX4a),내수용,10069,12699,15337,11864,13972,12618,9827,15138,13343,13335,11206,11472,2023
HMMA,Tucson OB (NX4a OB),내수용,3165,3296,3603,3509,3499,2844,3317,4286,3824,2830,3121,3099,2023
HMMA,Santa-Fe (TMa),내수용,7274,9749,9443,8684,8422,10459,7368,10858,9078,9986,8317,9263,2023
HMMA,Santa-Fe HEV (TMa HEV),내수용,1417,1631,1722,1628,1607,1949,1320,1825,1984,1958,1495,2285,2023
HMMA,GV70 (JKa),내수용,0,0,0,0,0,0,1120,1587,1477,3119,2565,840,2023
HMMA,GV70 EV (Jka EV),내수용,0,24,184,295,180,87,154,465,158,539,338,213,2023
HMMA,Elantra(CN7a),수출용,120,90,165,240,135,15,0,0,0,0,0,0,2023
HMMA,Sonata (DN8a),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2023
HMMA,Tucson (NX4a),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2023
HMMA,Tucson OB (NX4a OB),수출용,463,388,447,371,420,395,287,478,425,358,214,664,2023
HMMA,Santa-Fe (TMa),수출용,832,832,1220,781,861,1040,785,1094,908,808,821,573,2023
HMMA,GV70 (JKa),수출용,0,0,0,0,0,0,20,0,13,21,16,19,2023
HMMA,GV70 EV (Jka EV),수출용,0,0,2,6,0,0,5,1,3,3,3,3,2023
HMMC, i30 (PDe),수출용,3512,3678,4719,3340,3720,4140,2837,3795,4006,4218,4008,2689,2023
HMMC, i30 (Pde N),수출용,517,426,501,735,602,676,661,566,621,586,481,723,2023
HMMC, Kona EV (OSe EV),수출용,3349,3531,4488,3473,3701,3698,2033,230,0,0,0,0,2023
HMMC, Kona EV (SX2e EV),수출용,0,0,6,0,1,2,5,2923,4428,4934,4596,2264,2023
HMMC, Tucson (TLe),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2023
HMMC, Tucson (NX4e),수출용,11607,12684,14305,11029,14152,14160,9268,11842,12878,14087,12969,10415,2023
HMMC, Tucson HEV (NX4e HEV),수출용,4039,6020,6678,5531,5848,6314,4126,5386,6301,5972,6412,4635,2023
HMMC, Tucson PHEV (NX4e PHEV),수출용,1570,2911,3296,2272,2531,2914,1779,2059,2415,2503,2356,1319,2023
HMMR,Solaris (HCr),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2023
HMMR,Creta (SU2r),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2023
HMMR,Kia Rio(FB),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2023
HMMR,Solaris (HCr),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2023
HMMR,Creta (SU2r),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2023
HMMR,Kia Rio(FB),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2023
HMB,HB20 (BR2),내수용,4221,6910,10531,6754,4688,13613,12304,12993,13221,11993,11655,11547,2023
HMB,Creta (GSb),내수용,1019,973,1387,904,246,493,1042,999,894,430,3124,1104,2023
HMB,Creta (SU2b),내수용,3886,3634,4174,3692,4371,3397,4962,4876,3828,5451,4417,5663,2023
HMB,HB20 (BR2),수출용,1702,1073,2806,2145,837,1748,1984,1222,1471,839,1661,992,2023
HMB,Creta (GSb),수출용,33,0,33,66,12,54,33,0,48,2,6,0,2023
HMB,Creta (SU2b),수출용,76,188,108,96,104,80,76,189,130,38,132,72,2023
HMMI,Stargazer (KS),내수용,994,2009,1772,574,1005,513,689,1684,1473,1751,812,877,2023
HMMI,IONIQ5 (NE),내수용,242,201,649,950,974,1023,499,431,675,638,527,542,2023
HMMI,Santa-Fe (TMid),내수용,154,110,27,128,86,65,77,44,86,20,15,52,2023
HMMI,Creta (SU2id),내수용,610,680,1052,429,999,559,262,212,72,493,630,447,2023
HMMI,Stargazer (KS),수출용,0,115,541,455,540,1054,619,654,1214,1119,1141,924,2023
HMMI,IONIQ5 (NE),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2023
HMMI,Santa-Fe (TMid),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2023
HMMI,Creta (SU2id),수출용,4084,3502,3079,2623,4045,4888,4569,4750,3530,2733,4851,3408,2023
HTBC,HTBC,내수용,60,80,52,40,49,61,65,50,31,24,60,111,2023
HTBC,HTBC,수출용,80,0,81,65,74,37,145,231,250,60,61,233,2023
Russia,CV,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2023
Vietnam,i10(AI3v 4DR),내수용,198,51,74,30,179,0,134,99,92,90,91,72,2023
Vietnam,i10(AI3v 5DR),내수용,361,653,640,562,150,428,447,393,471,409,588,628,2023
Vietnam,Accent (HCv),내수용,891,1571,1670,933,1525,785,981,1338,1335,1746,1737,1062,2023
Vietnam,Elantra (ADv),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2023
Vietnam,Elantra (CN7v),내수용,57,147,297,290,332,53,172,222,157,211,175,45,2023
Vietnam,Kona (OSv),내수용,0,0,0,0,0,0,0,0,0,0,0,295,2023
Vietnam,Creta (SU2v),내수용,0,0,0,0,567,1148,654,464,230,724,803,454,2023
Vietnam,Tucson (TLv),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2023
Vietnam,Tucson (NX4v),내수용,296,763,954,470,675,32,109,40,88,610,616,391,2023
Vietnam,Santa Fe (TMv),내수용,1058,528,413,259,295,22,222,419,330,520,451,179,2023
Vietnam,Santa Fe HEV (TMv HEV),내수용,0,0,0,0,0,0,0,63,11,7,12,10,2023
Vietnam,Palisade (LX2v),내수용,0,0,0,0,0,0,0,0,30,147,139,245,2023
Vietnam,Kusto (KUv),내수용,0,0,0,0,0,0,0,0,163,368,604,666,2023
Vietnam,IONIQ5 (NEv),내수용,0,0,0,0,0,0,0,28,30,0,1,1,2023
Vietnam,Porter (HRv),내수용,360,90,450,346,208,191,406,213,286,264,186,60,2023
Vietnam,Mighty (LTv),내수용,80,130,209,121,60,60,60,90,90,121,120,31,2023
Vietnam,Mighty (VTv),내수용,240,300,120,0,150,149,88,118,247,85,32,150,2023
Vietnam,Mighty (QTv),내수용,90,0,30,0,0,0,0,0,0,29,0,0,2023
Vietnam,Mighty (QTc),내수용,59,1,60,0,0,0,0,0,0,0,0,0,2023
Vietnam,Truck,내수용,79,192,219,192,147,180,221,182,243,189,275,274,2023
Singapore,IONIQ5 (NE),내수용,0,0,0,0,0,33,58,65,73,49,62,114,2023
Singapore,IONIQ5 (NE),수출용,0,0,0,0,0,0,0,6,3,2,9,3,2023
HMI, Xcent (AI3 4DR),내수용,5516,5053,4883,4526,4433,4299,4757,4304,4462,4805,4248,3852,2024
HMI, Grand i10 (AI3 5DR),내수용,6865,4947,5034,5117,5328,4948,4922,5365,5103,6235,5667,4489,2024
HMI, i20 (BI3 5DR),내수용,7083,5131,5155,5199,5169,5315,4937,4913,4428,5354,3925,3453,2024
HMI, Verna (Hci),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMI, Verna (BN7i),내수용,2168,1678,1712,1571,1381,1424,1420,1194,1198,1272,1213,872,2024
HMI,Exter (AI3 SUV),내수용,8229,7582,8475,7756,7697,6908,6037,6632,6908,7127,5747,5270,2024
HMI, Venue (QXi),내수용,11831,8933,9614,9120,9327,9890,8840,9085,10259,10901,9754,10265,2024
HMI, Creta (SU2i),내수용,13212,15276,16458,15447,14662,16293,17350,16762,15902,17497,15452,12608,2024
HMI, Creta (SU2i LWB),내수용,1827,1290,1420,1219,944,882,585,1105,2712,2204,2134,1342,2024
HMI, Kona EV (OSi EV),내수용,102,86,71,0,0,0,0,0,0,0,0,0,2024
HMI, IONIQ5 (NEi),내수용,95,66,65,45,42,30,35,40,31,32,22,24,2024
HMI, Tucson (NX4i),내수용,183,157,110,201,168,114,129,125,98,141,84,33,2024
HMI, Xcent (AI3 4DR),수출용,1452,1394,2701,3407,2950,2700,2685,2564,2537,2173,2153,2423,2024
HMI, Grand i10 (AI3 5DR),수출용,2821,3480,2675,2925,3671,3704,4564,4395,3388,4707,3376,4072,2024
HMI, i20 (BI3 5DR),수출용,226,407,577,265,887,410,375,587,532,512,1045,95,2024
HMI, Verna (Hci),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMI, Verna (BN7i),수출용,4845,3475,4730,4499,4047,5416,4673,3563,4863,4641,4031,4054,2024
HMI, Exter(AI3 SUV),수출용,29,26,40,13,2,5,1008,1009,733,919,1165,553,2024
HMI, Venue(QXi),수출용,172,701,929,1449,1279,1015,591,1104,719,501,264,429,2024
HMI, Creta(SU2i),수출용,279,292,12,1,375,406,308,268,306,654,172,386,2024
HMI, Creta(SU2i LWB),수출용,676,525,936,941,1189,1044,1346,160,22,403,800,858,2024
HAOS,i10 (AC3),내수용,114,181,179,217,20,3,270,206,106,177,259,142,2024
HAOS,i20 (BC3),내수용,1279,966,1529,1903,2207,1774,1043,1457,2021,2020,2195,3308,2024
HAOS,Bayon (BC3 CUV),내수용,1186,1441,1200,1157,1061,1536,1182,1141,1271,1227,2496,2686,2024
HAOS,i20 N (BC3 N),내수용,49,51,50,50,0,174,76,50,0,0,0,0,2024
HAOS,i10 (AC3),수출용,6778,6477,7122,5594,7113,6203,6823,4089,7427,7969,7625,7268,2024
HAOS,i20 (BC3),수출용,7505,7370,9268,4903,7849,4710,7167,4398,5561,7223,7929,7448,2024
HAOS,Bayon (BC3 CUV),수출용,4313,3357,2476,2523,4647,2965,4554,3320,3367,3184,2010,1358,2024
HAOS,i20 N (BC3 N),수출용,887,596,734,538,146,292,171,143,360,224,16,0,2024
BHMC, Elantra (CN7c),내수용,7008,6631,12105,5301,7129,5845,1803,3054,3843,2373,2396,3149,2024
BHMC, Sonata (DN8c),내수용,22,273,1103,2038,2088,1913,821,770,767,756,985,1248,2024
BHMC, Custo (KU),내수용,748,423,891,482,1047,905,635,851,1112,1273,800,1443,2024
BHMC, Mufasa (NU2),내수용,2595,2012,3779,624,908,991,387,324,628,780,466,1758,2024
BHMC, La festa (SQ),내수용,52,10,326,604,0,0,0,2,3,0,0,0,2024
BHMC, Verna (YC),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
BHMC, Celesta (ID),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
BHMC, Mistra (DU2),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
BHMC, Tucson (NX4c),내수용,3567,2741,2740,897,1791,1750,1053,1625,1837,866,2082,1359,2024
BHMC, Tucson HEV (NX4c HEV),내수용,1,0,0,0,0,0,1,0,0,0,0,14,2024
BHMC, ix35 (NU),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
BHMC, Santa Fe (MX5c),내수용,0,0,0,0,0,0,0,264,810,342,271,258,2024
BHMC, Santa Fe (TMc),내수용,60,20,59,55,37,7,3,110,0,60,0,167,2024
BHMC,BHMC,수출용,171,0,437,2644,3617,3113,2517,6007,6394,4733,9349,5656,2024
HMMA,Elantra (CN7a),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMA,Sonata (DN8a),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMA,Tucson (NX4a),내수용,15840,11553,12313,11016,6689,12834,7944,14515,11447,14717,12167,10065,2024
HMMA,Tucson OB (NX4a OB),내수용,4644,3729,2786,3196,3427,2193,1078,2262,2484,2406,1741,1693,2024
HMMA,Santa-Fe (TMa),내수용,1895,35,3,2,0,0,0,0,0,0,0,0,2024
HMMA,Santa-Fe HEV (TMa HEV),내수용,741,19,4,0,0,0,0,0,0,0,0,0,2024
HMMA,Santa-Fe (MX5a),내수용,1935,8882,11326,10577,10474,8263,6780,9518,7769,10053,8141,7784,2024
HMMA,Santa-Fe (MX5a HEV),내수용,0,0,40,4044,4278,4160,3323,3979,4067,5244,3859,3487,2024
HMMA,GV70 (JKa),내수용,3281,1565,625,3120,2325,915,1357,1777,1739,1773,1659,1262,2024
HMMA,GV70 EV (Jka EV),내수용,204,180,192,184,190,370,354,331,168,169,177,129,2024
HMMA,Elantra(CN7a),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMA,Sonata (DN8a),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMA,Tucson (NX4a),수출용,0,0,0,0,0,0,1367,1166,1068,1089,967,1390,2024
HMMA,Tucson OB (NX4a OB),수출용,348,563,384,527,313,555,113,289,193,395,230,404,2024
HMMA,Santa-Fe (TMa),수출용,198,30,9,0,0,0,0,0,0,0,0,0,2024
HMMA,Santa-Fe (MX5a),수출용,80,1233,1829,1205,965,987,859,883,933,682,646,597,2024
HMMA,Santa-Fe (MX5a HEV),수출용,0,0,0,0,0,0,7,0,0,0,0,0,2024
HMMA,GV70 (JKa),수출용,1,0,24,28,24,7,0,0,1,0,0,0,2024
HMMA,GV70 EV (Jka EV),수출용,0,0,1,3,1,1,0,0,1,0,4,0,2024
HMGMA,Ioniq5 (NEa),내수용,0,0,0,0,0,0,0,0,0,0,0,1006,2024
HMGMA,Ioniq5 (NEa),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMC, i30 (PDe),수출용,5861,4863,5174,4489,6022,5711,5149,3594,5238,4410,1980,2344,2024
HMMC, i30 (Pde N),수출용,942,1000,1184,984,249,58,333,226,207,282,62,19,2024
HMMC, Kona EV (OSe EV),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMC, Kona EV (SX2e EV),수출용,3286,3146,2868,2944,2859,3118,2740,2393,2160,1938,3283,2114,2024
HMMC, Tucson (TLe),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMC, Tucson (NX4e),수출용,12572,12653,10559,12803,13623,9964,9855,7761,12198,10991,12071,11598,2024
HMMC, Tucson HEV (NX4e HEV),수출용,5763,5563,5266,6871,6535,6966,5476,4884,7113,7961,7339,5391,2024
HMMC, Tucson PHEV (NX4e PHEV),수출용,2209,1636,1338,2048,2107,2015,2226,1452,1860,2009,1571,1183,2024
HMMR,Solaris (HCr),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMR,Creta (SU2r),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMR,Solaris (HCr),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMR,Creta (SU2r),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMB,HB20 (BR2),내수용,5752,6756,10697,10386,10483,11871,10270,11975,12370,15261,14248,9420,2024
HMB,Creta (GSb),내수용,534,877,362,1005,890,1341,1343,1192,568,341,13,16,2024
HMB,Creta (SU2b),내수용,4139,3261,4320,4472,4485,5490,5374,5840,3880,7068,7165,6859,2024
HMB,HB20 (BR2),수출용,310,1069,862,930,760,1300,721,1197,716,1031,1370,996,2024
HMB,Creta (GSb),수출용,0,0,48,89,56,64,64,56,56,40,48,0,2024
HMB,Creta (SU2b),수출용,32,184,72,268,171,106,209,0,345,285,172,179,2024
HMMI,Stargazer (KS),내수용,1615,1964,1063,755,589,1223,600,782,618,715,722,1039,2024
HMMI,Kona EV (SX2id EV) ,내수용,0,0,0,0,0,0,304,165,170,176,434,124,2024
HMMI,IONIQ5 (NE),내수용,752,236,28,27,11,76,62,92,27,44,77,978,2024
HMMI,IONIQ5 (NEid N),내수용,0,0,0,0,0,0,0,0,0,28,10,33,2024
HMMI,Santa-Fe (TMid),내수용,116,23,22,37,27,82,36,42,9,17,31,145,2024
HMMI,Santa-Fe (MX5id),내수용,0,0,0,0,0,0,0,0,0,13,3,3,2024
HMMI,Santa-Fe (MX5id HEV),내수용,0,0,0,0,0,0,0,0,0,177,115,171,2024
HMMI,Creta (SU2id),내수용,1013,877,584,220,193,429,346,449,393,323,108,1066,2024
HMMI,Stargazer (KS),수출용,492,1318,1688,1363,1986,1529,2285,2230,2065,1151,1012,654,2024
HMMI,Kona EV (SX2id EV) ,수출용,0,0,0,0,0,0,0,0,0,1,0,0,2024
HMMI,IONIQ5 (NE),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMI,IONIQ5 (NEid N),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMI,Santa-Fe (TMid),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMI,Santa-Fe (MX5id),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMI,Santa-Fe (MX5id HEV),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HMMI,Creta (SU2id),수출용,3012,3147,4183,2232,3459,4399,4076,4458,5205,2989,3328,4181,2024
HTBC,HTBC,내수용,50,50,91,94,83,62,80,93,106,162,120,76,2024
HTBC,HTBC,수출용,60,90,68,86,90,121,120,122,101,220,47,11,2024
KMX,NX4m,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
KMX,HCm,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
KMX,NX4m,수출용,0,0,0,0,0,809,2378,2821,2637,3048,2700,2097,2024
KMX,HCm,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Others,Others,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Russia,CV,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Vietnam,i10(AI3v 4DR),내수용,30,120,118,2,0,142,32,45,60,50,3,30,2024
Vietnam,i10(AI3v 5DR),내수용,387,359,301,28,5,270,490,621,560,907,389,301,2024
Vietnam,Accent (HCv),내수용,896,775,1178,357,4,0,0,0,0,0,0,0,2024
Vietnam,Accent (BN7v),내수용,0,0,0,0,623,828,1557,1551,1539,1592,1220,615,2024
Vietnam,Elantra (CN7v),내수용,151,90,87,130,255,223,123,41,227,115,66,65,2024
Vietnam,Venue (QXv),내수용,60,4,316,508,698,189,62,40,360,350,290,287,2024
Vietnam,Creta (SU2v),내수용,388,316,821,570,660,563,684,694,663,958,988,444,2024
Vietnam,Tucson (NX4v),내수용,174,153,325,458,535,380,439,500,248,904,1182,634,2024
Vietnam,Santa Fe (TMv),내수용,57,394,448,349,840,615,416,593,13,2,0,0,2024
Vietnam,Santa Fe HEV (TMv HEV),내수용,30,0,5,30,0,0,0,0,90,24,1,0,2024
Vietnam,Palisade (LX2v),내수용,186,208,96,120,270,93,91,51,150,284,76,74,2024
Vietnam,Kusto (KUv),내수용,422,207,89,152,410,147,121,126,411,246,88,7,2024
Vietnam,IONIQ5 (NEv),내수용,30,0,0,0,0,29,0,0,1,0,0,0,2024
Vietnam,Porter (HRv),내수용,268,181,297,70,447,193,339,0,342,268,62,291,2024
Vietnam,Mighty (LTv),내수용,157,113,150,240,90,153,71,198,93,119,210,1,2024
Vietnam,Mighty (VTv),내수용,180,12,168,266,154,240,153,156,278,228,0,66,2024
Vietnam,Mighty (QTv),내수용,30,30,0,0,30,60,0,90,0,61,0,0,2024
Vietnam,Mighty (QTc),내수용,0,0,30,21,39,30,0,28,2,0,0,0,2024
Vietnam,Santa Fe (MX5v),내수용,0,0,0,0,0,0,0,0,584,630,1053,418,2024
Vietnam,Mighty (LTv),수출용,60,30,0,60,60,0,0,30,60,20,10,60,2024
Singapore,IONIQ5 (NE),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Singapore,IONIQ6 (CE),내수용,0,0,0,0,0,0,0,1,12,5,7,12,2024
Singapore,IONIQ5 (NE),수출용,20,49,82,74,46,38,52,40,18,21,10,9,2024
Singapore,IONIQ6 (CE),수출용,0,24,0,0,3,0,13,6,0,0,1,0,2024
HMI, Xcent (AI3 4DR),내수용,5388,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Grand i10 (AI3 5DR),내수용,5311,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, i20 (BI3 5DR),내수용,4741,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Verna (Hci),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Verna (BN7i),내수용,1477,0,0,0,0,0,0,0,0,0,0,0,2025
HMI,Exter (AI3 SUV),내수용,6068,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Venue (QXi),내수용,11106,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Creta (SU2i),내수용,16787,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Creta (SU2i EV),내수용,1735,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Creta (SU2i LWB),내수용,1310,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Kona EV (OSi EV),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, IONIQ5 (NEi),내수용,16,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Tucson (NX4i),내수용,64,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Xcent (AI3 4DR),수출용,2776,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Grand i10 (AI3 5DR),수출용,2846,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, i20 (BI3 5DR),수출용,157,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Verna (Hci),수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Verna (BN7i),수출용,4435,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Exter(AI3 SUV),수출용,54,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Venue(QXi),수출용,381,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Creta(SU2i),수출용,261,0,0,0,0,0,0,0,0,0,0,0,2025
HMI, Creta(SU2i LWB),수출용,690,0,0,0,0,0,0,0,0,0,0,0,2025
HAOS,i10 (AC3),내수용,83,0,0,0,0,0,0,0,0,0,0,0,2025
HAOS,i20 (BC3),내수용,1690,0,0,0,0,0,0,0,0,0,0,0,2025
HAOS,Bayon (BC3 CUV),내수용,1588,0,0,0,0,0,0,0,0,0,0,0,2025
HAOS,i20 N (BC3 N),내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
HAOS,i10 (AC3),수출용,6502,0,0,0,0,0,0,0,0,0,0,0,2025
HAOS,i20 (BC3),수출용,9444,0,0,0,0,0,0,0,0,0,0,0,2025
HAOS,Bayon (BC3 CUV),수출용,1712,0,0,0,0,0,0,0,0,0,0,0,2025
HAOS,i20 N (BC3 N),수출용,242,0,0,0,0,0,0,0,0,0,0,0,2025
BHMC, Elantra (CN7c),내수용,5390,0,0,0,0,0,0,0,0,0,0,0,2025
