차종,차량 구분,거래 유형,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
Bongo,특수 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2024
Bus,특수 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2024
Morning / Picanto,일반 차량,수출(CKD 제외),9795,8361,9050,9243,10810,10122,9786,8852,7989,11172,10298,8975,2024
Pride / Rio,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,0,0,0,2024
K3,일반 차량,수출(CKD 제외),2387,2483,2368,3760,3541,3162,2862,1324,40,136,100,100,2024
K5 / Optima,일반 차량,수출(CKD 제외),1139,835,4058,7410,9023,8467,8720,7801,7125,5934,2053,8328,2024
EV4,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,0,0,2,2024
Stinger,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,0,0,0,2024
K7 / K8 / Cadenza,일반 차량,수출(CKD 제외),288,144,115,309,321,103,10,0,0,49,5,115,2024
K9,일반 차량,수출(CKD 제외),0,0,8,0,6,65,0,0,0,0,0,0,2024
Stonic,일반 차량,수출(CKD 제외),6703,6191,8218,6326,7850,7061,6751,6879,6252,7473,6159,6917,2024
EV3,일반 차량,수출(CKD 제외),0,2,0,3,4,20,2,1424,6158,7993,9098,8500,2024
Seltos,일반 차량,수출(CKD 제외),10285,9445,9129,10435,7970,8683,8261,7561,5641,6032,4060,9534,2024
Soul,일반 차량,수출(CKD 제외),6594,5008,6049,5712,5361,5312,5240,4814,3167,4551,2402,5810,2024
Niro,일반 차량,수출(CKD 제외),12662,9797,11168,11179,9074,10854,8502,6710,9245,9235,8671,7333,2024
Niro Plus,일반 차량,수출(CKD 제외),200,0,14,0,0,3,0,1,0,0,0,152,2024
EV5,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,0,0,0,2024
EV6,일반 차량,수출(CKD 제외),8137,6545,7166,4692,4701,2051,2679,1426,897,1415,1461,1318,2024
Sportage,일반 차량,수출(CKD 제외),14744,10842,11500,12798,12165,12553,11618,12049,8153,10279,8303,11529,2024
Sorento,일반 차량,수출(CKD 제외),5417,6470,5904,8810,7834,7844,7509,3670,5746,6789,5816,6733,2024
Mohave / Borrego,일반 차량,수출(CKD 제외),0,54,33,90,0,3,0,114,0,0,0,0,2024
EV9,일반 차량,수출(CKD 제외),4496,2527,3371,1817,2578,1484,1702,1322,1178,925,740,553,2024
New Carens,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,0,0,0,2024
Carnival / Sedona,일반 차량,수출(CKD 제외),6291,4627,5423,9705,7521,7831,8373,9224,6673,8977,5040,8285,2024
Bongo,일반 차량,수출(CKD 제외),4491,3247,4445,2920,2918,3067,3057,2897,2704,3111,3104,2961,2024
Tasman,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,3,1,9,3,2024
Bus,일반 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,0,0,0,2024
Military,특수 차량,수출(CKD 제외),10,3,25,52,14,50,51,0,0,0,57,68,2024
Bongo,특수 차량,수출(CKD 제외),1,51,23,24,3,5,4,117,119,10,21,104,2024
Bus,특수 차량,수출(CKD 제외),0,0,0,0,0,0,0,0,0,4,0,0,2024
Morning,일반 차량,국내,1484,0,0,0,0,0,0,0,0,0,0,0,2025
Ray,일반 차량,국내,3876,0,0,0,0,0,0,0,0,0,0,0,2025
K3,일반 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
EV4,일반 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
K5,일반 차량,국내,2583,0,0,0,0,0,0,0,0,0,0,0,2025
K7 / K8,일반 차량,국내,2297,0,0,0,0,0,0,0,0,0,0,0,2025
K9,일반 차량,국내,123,0,0,0,0,0,0,0,0,0,0,0,2025
EV3,일반 차량,국내,429,0,0,0,0,0,0,0,0,0,0,0,2025
Seltos,일반 차량,국내,4342,0,0,0,0,0,0,0,0,0,0,0,2025
Niro,일반 차량,국내,571,0,0,0,0,0,0,0,0,0,0,0,2025
EV5,일반 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
EV6,일반 차량,국내,72,0,0,0,0,0,0,0,0,0,0,0,2025
Sportage,일반 차량,국내,6547,0,0,0,0,0,0,0,0,0,0,0,2025
Sorento,일반 차량,국내,7454,0,0,0,0,0,0,0,0,0,0,0,2025
EV9,일반 차량,국내,37,0,0,0,0,0,0,0,0,0,0,0,2025
Carnival,일반 차량,국내,6068,0,0,0,0,0,0,0,0,0,0,0,2025
Bongo,일반 차량,국내,2419,0,0,0,0,0,0,0,0,0,0,0,2025
Bus,일반 차량,국내,101,0,0,0,0,0,0,0,0,0,0,0,2025
Tasman,일반 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
PV5,일반 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
Tasman,특수 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
Military,특수 차량,국내,9,0,0,0,0,0,0,0,0,0,0,0,2025
Bongo,특수 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
Bus,특수 차량,국내,0,0,0,0,0,0,0,0,0,0,0,0,2025
Morning / Picanto,일반 차량,수출,7802,0,0,0,0,0,0,0,0,0,0,0,2025
