국가명,연도,월,y,ds
중동·아프리카,2022,10,10832,2022-10-01
서유럽,2022,11,23973,2022-11-01
북미-미국,2022,11,25130,2022-11-01
동유럽,2022,11,4643,2022-11-01
중동·아프리카,2022,11,12476,2022-11-01
아시아,2022,11,15676,2022-11-01
북미-캐나다,2022,11,4311,2022-11-01
중남미,2022,11,5305,2022-11-01
아시아,2022,12,13320,2022-12-01
중동·아프리카,2022,12,14557,2022-12-01
중남미,2022,12,5880,2022-12-01
동유럽,2022,12,4604,2022-12-01
서유럽,2022,12,24524,2022-12-01
북미-캐나다,2022,12,4785,2022-12-01
북미-미국,2022,12,25275,2022-12-01
서유럽,2023,1,54186,2023-01-01
북미-캐나다,2023,1,11916,2023-01-01
중남미,2023,1,8220,2023-01-01
아시아,2023,1,24198,2023-01-01
북미-미국,2023,1,68208,2023-01-01
북미-멕시코,2023,1,1296,2023-01-01
중동·아프리카,2023,1,20666,2023-01-01
동유럽,2023,1,8628,2023-01-01
북미-멕시코,2023,2,4982,2023-02-01
북미-미국,2023,2,60660,2023-02-01
북미-캐나다,2023,2,13634,2023-02-01
서유럽,2023,2,59526,2023-02-01
중동·아프리카,2023,2,21448,2023-02-01
동유럽,2023,2,9732,2023-02-01
중남미,2023,2,9250,2023-02-01
아시아,2023,2,23124,2023-02-01
동유럽,2023,3,10754,2023-03-01
북미-멕시코,2023,3,4240,2023-03-01
북미-미국,2023,3,65224,2023-03-01
북미-캐나다,2023,3,11410,2023-03-01
서유럽,2023,3,67126,2023-03-01
아시아,2023,3,27090,2023-03-01
중남미,2023,3,11730,2023-03-01
중동·아프리카,2023,3,23250,2023-03-01
북미-미국,2023,4,58696,2023-04-01
아시아,2023,4,21550,2023-04-01
중남미,2023,4,10578,2023-04-01
중동·아프리카,2023,4,20860,2023-04-01
북미-멕시코,2023,4,4084,2023-04-01
동유럽,2023,4,12298,2023-04-01
북미-캐나다,2023,4,11632,2023-04-01
서유럽,2023,4,59740,2023-04-01
중동·아프리카,2023,5,20620,2023-05-01
중남미,2023,5,11744,2023-05-01
동유럽,2023,5,11970,2023-05-01
서유럽,2023,5,62778,2023-05-01
북미-캐나다,2023,5,11112,2023-05-01
북미-미국,2023,5,57526,2023-05-01
북미-멕시코,2023,5,3730,2023-05-01
아시아,2023,5,22258,2023-05-01
동유럽,2023,6,10014,2023-06-01
북미-멕시코,2023,6,3238,2023-06-01
중동·아프리카,2023,6,17682,2023-06-01
중남미,2023,6,12564,2023-06-01
북미-미국,2023,6,52026,2023-06-01
서유럽,2023,6,47164,2023-06-01
북미-캐나다,2023,6,10118,2023-06-01
아시아,2023,6,27642,2023-06-01
아시아,2023,7,22198,2023-07-01
북미-미국,2023,7,54472,2023-07-01
동유럽,2023,7,10524,2023-07-01
북미-멕시코,2023,7,2498,2023-07-01
북미-캐나다,2023,7,10138,2023-07-01
서유럽,2023,7,47136,2023-07-01
중남미,2023,7,12572,2023-07-01
