국가,차량 모델,연도,월,판매량,날짜,브랜드,카테고리
북미-미국,G70,2023,8,1394,2023-08-01,현대,기타
북미-미국,G70,2023,9,1751,2023-09-01,현대,기타
북미-미국,G70,2024,10,1016,2024-10-01,현대,기타
북미-미국,G70,2024,11,1548,2024-11-01,현대,기타
북미-미국,G70,2024,12,1156,2024-12-01,현대,기타
북미-미국,G70,2024,1,986,2024-01-01,현대,기타
북미-미국,G70,2024,2,686,2024-02-01,현대,기타
북미-미국,G70,2024,3,1020,2024-03-01,현대,기타
북미-미국,G70,2024,4,1035,2024-04-01,현대,기타
북미-미국,G70,2024,5,931,2024-05-01,현대,기타
북미-미국,G70,2024,6,838,2024-06-01,현대,기타
북미-미국,G70,2024,7,850,2024-07-01,현대,기타
북미-미국,G70,2024,8,1055,2024-08-01,현대,기타
북미-미국,G70,2024,9,1137,2024-09-01,현대,기타
북미-미국,G70,2025,1,642,2025-01-01,현대,기타
북미-미국,G80 (RG3 EV),2023,10,103,2023-10-01,현대,SUV
북미-미국,G80 (RG3 EV),2023,11,16,2023-11-01,현대,SUV
북미-미국,G80 (RG3 EV),2023,12,26,2023-12-01,현대,SUV
북미-미국,G80 (RG3 EV),2023,1,33,2023-01-01,현대,SUV
북미-미국,G80 (RG3 EV),2023,2,32,2023-02-01,현대,SUV
북미-미국,G80 (RG3 EV),2023,3,315,2023-03-01,현대,SUV
북미-미국,G80 (RG3 EV),2023,4,94,2023-04-01,현대,SUV
북미-미국,G80 (RG3 EV),2023,5,120,2023-05-01,현대,SUV
북미-미국,G80 (RG3 EV),2023,6,119,2023-06-01,현대,SUV
북미-미국,G80 (RG3 EV),2023,7,227,2023-07-01,현대,SUV
북미-미국,G80 (RG3 EV),2023,8,107,2023-08-01,현대,SUV
북미-미국,G80 (RG3 EV),2023,9,137,2023-09-01,현대,SUV
북미-미국,G80 (RG3 EV),2024,10,44,2024-10-01,현대,SUV
북미-미국,G80 (RG3 EV),2024,11,29,2024-11-01,현대,SUV
북미-미국,G80 (RG3 EV),2024,12,29,2024-12-01,현대,SUV
북미-미국,G80 (RG3 EV),2024,1,23,2024-01-01,현대,SUV
북미-미국,G80 (RG3 EV),2024,2,26,2024-02-01,현대,SUV
북미-미국,G80 (RG3 EV),2024,3,55,2024-03-01,현대,SUV
북미-미국,G80 (RG3 EV),2024,4,9,2024-04-01,현대,SUV
북미-미국,G80 (RG3 EV),2024,5,11,2024-05-01,현대,SUV
북미-미국,G80 (RG3 EV),2024,6,16,2024-06-01,현대,SUV
북미-미국,G80 (RG3 EV),2024,7,24,2024-07-01,현대,SUV
북미-미국,G80 (RG3 EV),2024,8,79,2024-08-01,현대,SUV
북미-미국,G80 (RG3 EV),2024,9,52,2024-09-01,현대,SUV
북미-미국,G80 (RG3 EV),2025,1,20,2025-01-01,현대,SUV
북미-미국,G80 (RG3),2023,10,369,2023-10-01,현대,기타
북미-미국,G80 (RG3),2023,11,322,2023-11-01,현대,기타
북미-미국,G80 (RG3),2023,12,378,2023-12-01,현대,기타
북미-미국,G80 (RG3),2023,1,226,2023-01-01,현대,기타
북미-미국,G80 (RG3),2023,2,172,2023-02-01,현대,기타
북미-미국,G80 (RG3),2023,3,296,2023-03-01,현대,기타
북미-미국,G80 (RG3),2023,4,383,2023-04-01,현대,기타
북미-미국,G80 (RG3),2023,5,370,2023-05-01,현대,기타
북미-미국,G80 (RG3),2023,6,768,2023-06-01,현대,기타
북미-미국,G80 (RG3),2023,7,400,2023-07-01,현대,기타
북미-미국,G80 (RG3),2023,8,186,2023-08-01,현대,기타
북미-미국,G80 (RG3),2023,9,300,2023-09-01,현대,기타
북미-미국,G80 (RG3),2024,10,268,2024-10-01,현대,기타
북미-미국,G80 (RG3),2024,11,362,2024-11-01,현대,기타
북미-미국,G80 (RG3),2024,12,320,2024-12-01,현대,기타
북미-미국,G80 (RG3),2024,1,229,2024-01-01,현대,기타
북미-미국,G80 (RG3),2024,2,320,2024-02-01,현대,기타
북미-미국,G80 (RG3),2024,3,419,2024-03-01,현대,기타
북미-미국,G80 (RG3),2024,4,321,2024-04-01,현대,기타
북미-미국,G80 (RG3),2024,5,388,2024-05-01,현대,기타
북미-미국,G80 (RG3),2024,6,313,2024-06-01,현대,기타
북미-미국,G80 (RG3),2024,7,250,2024-07-01,현대,기타
북미-미국,G80 (RG3),2024,8,311,2024-08-01,현대,기타
북미-미국,G80 (RG3),2024,9,257,2024-09-01,현대,기타
북미-미국,G80 (RG3),2025,1,257,2025-01-01,현대,기타
북미-미국,G90,2023,10,68,2023-10-01,현대,기타
북미-미국,G90,2023,11,125,2023-11-01,현대,기타
북미-미국,G90,2023,12,130,2023-12-01,현대,기타
북미-미국,G90,2023,1,105,2023-01-01,현대,기타
북미-미국,G90,2023,2,111,2023-02-01,현대,기타
북미-미국,G90,2023,3,140,2023-03-01,현대,기타
북미-미국,G90,2023,4,120,2023-04-01,현대,기타
