차량 구분,국가명,연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
승용차,북미-미국,2024,0,0,3342,6359,8136,7818,8203,7420,6946,5154,1140,6458
승용차,북미-미국,2025,4518,0,0,0,0,0,0,0,0,0,0,0
승용차,북미-캐나다,2023,94,173,28,229,48,41,40,27,48,5,43,57
승용차,북미-캐나다,2024,48,36,30,0,82,48,39,0,0,0,0,0
승용차,북미-캐나다,2025,0,0,0,0,0,0,0,0,0,0,0,0
승용차,서유럽,2023,10216,12757,12724,10645,10709,6177,4059,2198,2440,3359,4704,4046
승용차,서유럽,2024,7790,6255,6223,4885,7154,6600,6277,4837,5139,7238,5108,2660
승용차,서유럽,2025,4542,0,0,0,0,0,0,0,0,0,0,0
승용차,아시아,2023,2206,1781,2515,1869,2042,2144,1290,1424,1607,1504,1627,1724
승용차,아시아,2024,2231,1998,2237,3249,2887,2459,1951,2029,485,944,1025,722
승용차,아시아,2025,409,0,0,0,0,0,0,0,0,0,0,0
승용차,중남미,2023,1688,1859,2189,2016,2381,2272,2142,1898,2184,1688,1602,1539
승용차,중남미,2024,574,753,1135,1717,1304,1285,1590,1518,1111,1925,2058,2943
승용차,중남미,2025,1389,0,0,0,0,0,0,0,0,0,0,0
승용차,중동·아프리카,2023,4640,5516,6630,4975,4351,3659,2916,3204,2570,3037,3045,2769
승용차,중동·아프리카,2024,1814,2347,2017,4217,3662,3318,3099,2071,1219,1918,2981,4674
승용차,중동·아프리카,2025,2475,0,0,0,0,0,0,0,0,0,0,0
총합,동유럽,2023,4314,4866,5377,6149,5985,5007,5262,5458,5476,6221,5917,4045
총합,동유럽,2024,6421,5537,5811,4918,6063,4748,3630,3296,3634,4823,4118,5482
총합,북미-멕시코,2023,648,2491,2120,2042,1865,1619,1249,589,667,667,194,695
총합,북미-멕시코,2024,970,647,812,637,806,211,620,389,505,490,501,1016
총합,북미-미국,2023,34104,30330,32612,29348,28763,26013,27236,22619,20969,24763,33951,30925
총합,북미-미국,2024,34743,28607,34209,42268,37104,35703,35129,32519,28047,30140,15057,23841
총합,북미-캐나다,2023,5958,6817,5705,5816,5556,5059,5069,4191,4660,4552,6268,5329
총합,북미-캐나다,2024,5240,3734,4043,5821,6177,5513,6554,4505,3429,4400,4112,6702
총합,서유럽,2023,27093,29763,33563,29870,31389,23582,23568,18616,18713,17354,26003,22840
총합,서유럽,2024,26740,20112,23516,19631,21711,20991,18912,17372,21838,27153,24937,18876
총합,아시아,2023,12099,11562,13545,10775,11129,13821,11099,12408,10952,11188,11841,14187
총합,아시아,2024,12135,12890,11473,13471,12588,13408,13036,12631,9971,11924,12018,14573
총합,중남미,2023,4110,4625,5865,5289,5872,6282,6286,4832,6104,5628,6783,6026
총합,중남미,2024,4584,3454,4661,5206,5430,5183,5359,5806,4140,5537,6193,9720
총합,중동·아프리카,2023,10333,10724,11625,10430,10310,8841,8403,9020,6674,7648,7755,7388
총합,중동·아프리카,2024,7847,7378,9429,8233,8031,8101,8641,6228,6847,8611,8033,14340
특수 차량,동유럽,2023,60,0,0,30,90,228,186,180,180,186,90,70
특수 차량,동유럽,2024,10,0,25,0,0,0,0,100,100,0,20,0
특수 차량,동유럽,2025,0,0,0,0,0,0,0,0,0,0,0,0
특수 차량,북미-멕시코,2023,0,0,0,0,0,0,0,0,0,0,0,0
특수 차량,북미-멕시코,2024,0,0,0,0,0,0,0,0,0,0,0,0
특수 차량,북미-멕시코,2025,0,0,0,0,0,0,0,0,0,0,0,0
특수 차량,북미-미국,2023,0,0,0,0,0,0,0,0,0,0,0,0
특수 차량,북미-미국,2024,0,0,0,0,0,0,0,0,0,0,0,0
특수 차량,북미-미국,2025,0,0,0,0,0,0,0,0,0,0,0,0
특수 차량,북미-캐나다,2023,0,0,0,0,0,0,0,0,0,0,0,0
특수 차량,북미-캐나다,2024,0,0,0,0,0,0,0,0,0,0,0,0
특수 차량,북미-캐나다,2025,0,0,0,0,0,0,0,0,0,0,0,0
특수 차량,서유럽,2023,0,0,0,0,0,0,0,0,0,0,0,0
특수 차량,서유럽,2024,0,3,0,0,14,0,1,0,0,0,0,10
특수 차량,서유럽,2025,0,0,0,0,0,0,0,0,0,0,0,0
특수 차량,아시아,2023,30,32,10,5,17,28,6,0,29,0,2,35
특수 차량,아시아,2024,0,4,20,24,3,5,1,11,5,12,1,103
특수 차량,아시아,2025,3,0,0,0,0,0,0,0,0,0,0,0
특수 차량,중남미,2023,50,0,21,0,0,1,0,0,0,0,13,2
특수 차량,중남미,2024,1,1,0,0,0,0,2,4,0,0,0,0
특수 차량,중남미,2025,14,0,0,0,0,0,0,0,0,0,0,0
특수 차량,중동·아프리카,2023,1,4,5,100,110,50,0,0,4,0,52,4
특수 차량,중동·아프리카,2024,0,46,3,52,0,50,51,2,14,2,57,59
특수 차량,중동·아프리카,2025,0,0,0,0,0,0,0,0,0,0,0,0
휴양용 차량,동유럽,2023,2032,2222,2950,3320,3331,2935,2386,2398,2901,3055,4002,2596
휴양용 차량,동유럽,2024,2662,2822,3194,2880,3337,2499,639,474,895,1728,1318,3093
휴양용 차량,동유럽,2025,2321,0,0,0,0,0,0,0,0,0,0,0
휴양용 차량,북미-멕시코,2023,562,2352,2054,1903,1784,1552,1168,550,653,652,135,641
휴양용 차량,북미-멕시코,2024,969,647,812,637,806,211,620,389,505,490,501,1016
휴양용 차량,북미-멕시코,2025,502,0,0,0,0,0,0,0,0,0,0,0
휴양용 차량,북미-미국,2023,33056,29697,31985,29103,28763,26013,27234,22619,20969,24759,33951,30920
휴양용 차량,북미-미국,2024,34743,28607,30867,35909,28968,27885,26926,25099,21101,24986,13917,17383
휴양용 차량,북미-미국,2025,23997,0,0,0,0,0,0,0,0,0,0,0
휴양용 차량,북미-캐나다,2023,5864,6644,5677,5587,5508,5018,5029,4164,4612,4547,6225,5272
휴양용 차량,북미-캐나다,2024,5192,3698,4013,5821,6095,5465,6515,4505,3429,4400,4112,6702
휴양용 차량,북미-캐나다,2025,5180,0,0,0,0,0,0,0,0,0,0,0
휴양용 차량,서유럽,2023,16877,17006,20839,19225,20680,17405,19509,16418,16273,13995,21299,18794
휴양용 차량,서유럽,2024,18950,13854,17293,14746,14543,14391,12634,12535,16699,19915,19829,16206
휴양용 차량,서유럽,2025,16934,0,0,0,0,0,0,0,0,0,0,0
휴양용 차량,아시아,2023,6120,5117,7258,6037,6697,8840,7564,7882,6328,6287,7777,8213
휴양용 차량,아시아,2024,7217,7298,5763,6850,6143,7721,7551,7131,5364,5734,6158,9655
휴양용 차량,아시아,2025,7119,0,0,0,0,0,0,0,0,0,0,0
휴양용 차량,중남미,2023,1248,1298,2120,1859,1960,2156,2236,1660,1943,2162,3429,2743
휴양용 차량,중남미,2024,2385,1665,1950,2274,2391,2560,2222,2495,1532,1952,2876,5013
휴양용 차량,중남미,2025,1316,0,0,0,0,0,0,0,0,0,0,0
휴양용 차량,중동·아프리카,2023,3959,3563,3317,3817,4512,3752,2486,3449,1391,2298,2543,1811
휴양용 차량,중동·아프리카,2024,3411,2915,4083,2447,2775,2967,3530,2563,3585,4464,3039,7596
휴양용 차량,중동·아프리카,2025,3466,0,0,0,0,0,0,0,0,0,0,0
