국가명,공장명(국가),차종,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
Africa,Special Vehicle,Bongo,0,2,2,4,6,0,0,0,0,0,2,0,2023
Africa,Special Vehicle,Bongo,0,4,0,0,1,0,0,4,45,0,0,0,2024
Africa,Special Vehicle,Bongo,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,Special Vehicle,Bongo (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2023
Africa,Special Vehicle,Bongo (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2024
Africa,Special Vehicle,Bongo (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,CKD,Bongo / Frontier,0,0,0,0,0,0,0,0,0,0,0,0,2024
Africa,CKD,Bongo / Frontier,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,CKD (excl. Russia),Bongo / Frontier,0,0,0,0,0,0,0,0,0,0,0,0,2023
Africa,Korea Plants,Bongo / Frontier,189,186,231,160,161,231,75,147,145,201,142,99,2024
Africa,Korea Plants,Bongo / Frontier,117,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,Korean Plant,Bongo / Frontier,185,295,289,185,274,160,190,178,213,167,151,144,2023
Africa,Korea Plants,Bongo EV,0,0,0,0,0,0,0,0,0,0,0,0,2024
Africa,Korea Plants,Bongo EV,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,Korea Plants,Bus,0,0,0,0,0,0,0,0,0,0,0,0,2024
Africa,Korea Plants,Bus,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,Korean Plant,Bus,0,0,0,0,0,0,0,0,0,0,0,0,2023
Africa,Special Vehicle,Bus,0,0,0,0,0,0,0,0,0,0,0,0,2024
Africa,Special Vehicle,Bus,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,Special Vehicle,Bus (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2023
Africa,Special Vehicle,Bus (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2024
Africa,Special Vehicle,Bus (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,CKD,Carens MPV,0,0,0,0,0,0,0,0,0,0,0,0,2024
Africa,CKD,Carens MPV,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,CKD (excl. Russia),Carens MPV,0,0,0,0,0,0,0,0,0,0,0,0,2023
Africa,India Plant,Carens MPV,48,26,101,25,18,65,16,33,47,44,38,40,2024
Africa,India Plant,Carens MPV,25,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,India Plants,Carens MPV,49,39,37,49,58,93,62,66,71,45,45,68,2023
Africa,India Plant,Carens MPV EV,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,China Plants,Carnival,0,0,0,0,0,0,0,0,0,0,0,0,2023
Africa,China Plants,Carnival,0,0,0,0,0,0,0,0,0,0,0,0,2024
Africa,China Plants,Carnival,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,India Plant,Carnival (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2024
Africa,India Plant,Carnival (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,India Plants,Carnival (CKD),0,0,0,0,0,0,0,0,0,0,0,0,2023
Africa,CKD,Carnival / Sedona,0,0,0,0,0,0,0,0,0,0,0,0,2024
Africa,CKD,Carnival / Sedona,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,CKD (excl. Russia),Carnival / Sedona,0,0,0,0,0,0,0,0,0,0,0,0,2023
Africa,Korea Plants,Carnival / Sedona,22,21,14,15,5,23,20,13,15,25,15,23,2024
Africa,Korea Plants,Carnival / Sedona,24,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,Korean Plant,Carnival / Sedona,12,32,38,23,45,64,55,26,13,23,10,123,2023
Africa,Slovakia Plant,Cee'd,12,19,11,93,29,19,19,29,17,21,31,53,2023
Africa,Slovakia Plant,Cee'd,16,9,29,7,14,16,30,23,11,13,9,19,2024
Africa,Slovakia Plant,Cee'd,4,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,Slovakia Plant,Cee'd CUV,66,16,40,46,115,210,109,291,385,136,128,106,2023
Africa,Slovakia Plant,Cee'd CUV,120,232,83,180,148,144,165,195,7,58,81,33,2024
Africa,Slovakia Plant,Cee'd CUV,98,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,Slovakia Plant,EV2,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,Korea Plants,EV3,0,0,0,0,0,0,0,0,0,0,0,0,2024
Africa,Korea Plants,EV3,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,Korea Plants,EV4,0,0,0,0,0,0,0,0,0,0,0,0,2024
Africa,Korea Plants,EV4,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,Slovakia Plant,EV4,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,CKD,EV5,0,0,0,0,0,0,0,0,0,0,0,0,2024
Africa,China Plants,EV5,0,0,0,0,0,0,0,0,0,0,0,0,2023
Africa,China Plants,EV5,0,0,0,0,1,0,0,19,9,10,8,17,2024
Africa,China Plants,EV5,5,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,HMGICs Plant,EV5,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,Korea Plants,EV5,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,CKD,EV6,0,0,0,0,0,0,0,0,0,0,0,0,2025
Africa,CKD (excl. Russia),EV6,0,0,0,0,0,0,0,0,0,0,0,0,2023
