차량 모델,차량 유형,판매 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
GV70 (JK),레저용 차량,내수용,1146.0,2291.0,2675.0,2446.0,2288.0,3781.0,3209.0,2833.0,2743.0,3467.0,2819.0,2617.0,2023
GV70 (JK EV),레저용 차량,내수용,3.0,177.0,302.0,320.0,327.0,247.0,206.0,94.0,121.0,240.0,91.0,31.0,2023
GV80 (JX),레저용 차량,내수용,1881.0,1673.0,2786.0,2916.0,2737.0,2572.0,1900.0,1692.0,1507.0,885.0,3874.0,4437.0,2023
LCV,상용차,내수용,9542.0,14515.0,14262.0,12475.0,11628.0,11751.0,11912.0,8927.0,8414.0,11843.0,12597.0,9589.0,2023
HCV,상용차,내수용,1178.0,1227.0,2579.0,1826.0,2443.0,2550.0,2154.0,2209.0,2047.0,2347.0,2468.0,2124.0,2023
Avante (CN7),승용차,수출용,13012.0,15452.0,14486.0,14714.0,14232.0,15191.0,13160.0,13015.0,11833.0,15295.0,14959.0,14060.0,2023
Avante (CN7 HEV),승용차,수출용,2492.0,2792.0,2794.0,3416.0,2671.0,2715.0,2857.0,2574.0,2615.0,2929.0,2776.0,3758.0,2023
Avante (CN7 N),승용차,수출용,719.0,450.0,307.0,584.0,382.0,681.0,234.0,119.0,377.0,553.0,586.0,205.0,2023
IONIQ (AE HEV),승용차,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
IONIQ (AE PHEV),승용차,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
IONIQ (AE EV),승용차,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
i30 (PD),승용차,수출용,1564.0,1107.0,1523.0,1863.0,1070.0,1280.0,1452.0,1538.0,493.0,1278.0,699.0,1412.0,2023
Veloster (JS N),승용차,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Sonata (DN8),승용차,수출용,3376.0,3555.0,3890.0,3482.0,3756.0,2425.0,4104.0,2344.0,3329.0,5038.0,7335.0,6791.0,2023
Sonata (DN8 HEV),승용차,수출용,1292.0,1029.0,1834.0,1687.0,1408.0,1099.0,1316.0,1383.0,1334.0,1846.0,1732.0,1097.0,2023
Grandeur (IG),승용차,수출용,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Grandeur (IG HEV),승용차,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Grandeur (GN7),승용차,수출용,0.0,538.0,546.0,509.0,306.0,509.0,160.0,304.0,90.0,31.0,183.0,101.0,2023
Grandeur (GN7 HEV),승용차,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,11.0,108.0,2023
IONIQ 6 (CE),승용차,수출용,3818.0,4931.0,6261.0,3275.0,3728.0,5913.0,4065.0,3217.0,3272.0,2800.0,2572.0,1688.0,2023
G70 (IK),승용차,수출용,1201.0,1413.0,1825.0,1589.0,1452.0,1224.0,1223.0,1314.0,1182.0,1351.0,2539.0,778.0,2023
G70 S/B (IK S/B),승용차,수출용,21.0,5.0,33.0,12.0,27.0,2.0,8.0,0.0,13.0,39.0,7.0,16.0,2023
G80 (RG3),승용차,수출용,581.0,529.0,710.0,665.0,893.0,613.0,639.0,739.0,551.0,1097.0,634.0,694.0,2023
G80 (RG3 EV),승용차,수출용,150.0,158.0,169.0,179.0,57.0,55.0,91.0,118.0,39.0,88.0,91.0,62.0,2023
G90 (HI),승용차,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
G90 (RS4),승용차,수출용,207.0,136.0,136.0,206.0,130.0,82.0,69.0,252.0,119.0,273.0,240.0,171.0,2023
Venue (QX),레저용 차량,수출용,5273.0,5843.0,6061.0,7467.0,5955.0,5043.0,5043.0,4529.0,4019.0,4705.0,4874.0,7252.0,2023
Kona (OS),레저용 차량,수출용,8347.0,9277.0,9179.0,8510.0,10064.0,6556.0,5088.0,486.0,0.0,0.0,0.0,0.0,2023
Kona (OS HEV),레저용 차량,수출용,1668.0,2110.0,2261.0,2767.0,166.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Kona (OS EV),레저용 차량,수출용,2299.0,3323.0,3115.0,2748.0,991.0,3437.0,2149.0,200.0,124.0,2.0,0.0,0.0,2023
Kona N (OS N),레저용 차량,수출용,662.0,901.0,454.0,608.0,86.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Kona (SX2),레저용 차량,수출용,0.0,2.0,0.0,1064.0,5040.0,5057.0,6481.0,13311.0,12746.0,15416.0,15824.0,15437.0,2023
Kona (SX2 HEV),레저용 차량,수출용,1.0,0.0,1.0,622.0,5399.0,4588.0,2779.0,3451.0,3199.0,4003.0,2819.0,3523.0,2023
Kona (SX2 EV),레저용 차량,수출용,0.0,0.0,15.0,0.0,3.0,1.0,0.0,81.0,172.0,1962.0,1974.0,1602.0,2023
Tucson (TL),레저용 차량,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023
Tucson (NX4),레저용 차량,수출용,7372.0,6623.0,6365.0,7256.0,6755.0,7315.0,7646.0,6811.0,5856.0,8753.0,7575.0,6577.0,2023
Tucson (NX4 HEV),레저용 차량,수출용,3396.0,4614.0,4235.0,3758.0,4471.0,4711.0,3804.0,3800.0,3428.0,4124.0,3810.0,5843.0,2023
Tucson (NX4 PHEV),레저용 차량,수출용,503.0,964.0,949.0,1001.0,1065.0,1009.0,867.0,920.0,837.0,984.0,995.0,1158.0,2023
NEXO (FE),레저용 차량,수출용,97.0,40.0,29.0,27.0,15.0,3.0,3.0,7.0,0.0,0.0,2.0,1.0,2023
IONIQ 5 (NE),레저용 차량,수출용,6989.0,7845.0,7474.0,7474.0,8242.0,7723.0,7215.0,6725.0,6260.0,7669.0,7268.0,7403.0,2023
IONIQ 5 N (NE N),레저용 차량,수출용,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,14.0,954.0,2023
Santa-Fe (TM),레저용 차량,수출용,1554.0,2003.0,2408.0,3513.0,3913.0,4445.0,3238.0,2710.0,80.0,4.0,1.0,21.0,2023
Santa-Fe (TM HEV),레저용 차량,수출용,1145.0,842.0,1296.0,1398.0,1121.0,1032.0,1186.0,995.0,499.0,258.0,0.0,0.0,2023
Santa-Fe (TM PHEV),레저용 차량,수출용,539.0,1317.0,1200.0,1257.0,1310.0,1848.0,1381.0,1108.0,823.0,408.0,4.0,19.0,2023
Santa-Fe (MX5),레저용 차량,수출용,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,5.0,628.0,2023
Santa-Fe (MX5 HEV),레저용 차량,수출용,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,2023
