차량 모델,차량 유형,판매 구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
 Custo (KU),0,내수용,748,423,891,482,1047,905,635,851,1112,1273,800,1443,2024
 Mufasa (NU2),0,내수용,2595,2012,3779,624,908,991,387,324,628,780,466,1758,2024
 La festa (SQ),0,내수용,52,10,326,604,0,0,0,2,3,0,0,0,2024
 Verna (YC),0,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
 Celesta (ID),0,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
 Mistra (DU2),0,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
 Tucson (NX4c),0,내수용,3567,2741,2740,897,1791,1750,1053,1625,1837,866,2082,1359,2024
 Tucson HEV (NX4c HEV),0,내수용,1,0,0,0,0,0,1,0,0,0,0,14,2024
 ix35 (NU),0,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
 Santa Fe (MX5c),0,내수용,0,0,0,0,0,0,0,264,810,342,271,258,2024
 Santa Fe (TMc),0,내수용,60,20,59,55,37,7,3,110,0,60,0,167,2024
BHMC,0,수출용,171,0,437,2644,3617,3113,2517,6007,6394,4733,9349,5656,2024
Elantra (CN7a),0,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Sonata (DN8a),0,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Tucson (NX4a),0,내수용,15840,11553,12313,11016,6689,12834,7944,14515,11447,14717,12167,10065,2024
Tucson OB (NX4a OB),0,내수용,4644,3729,2786,3196,3427,2193,1078,2262,2484,2406,1741,1693,2024
Santa-Fe (TMa),0,내수용,1895,35,3,2,0,0,0,0,0,0,0,0,2024
Santa-Fe HEV (TMa HEV),0,내수용,741,19,4,0,0,0,0,0,0,0,0,0,2024
Santa-Fe (MX5a),0,내수용,1935,8882,11326,10577,10474,8263,6780,9518,7769,10053,8141,7784,2024
Santa-Fe (MX5a HEV),0,내수용,0,0,40,4044,4278,4160,3323,3979,4067,5244,3859,3487,2024
GV70 (JKa),0,내수용,3281,1565,625,3120,2325,915,1357,1777,1739,1773,1659,1262,2024
GV70 EV (Jka EV),0,내수용,204,180,192,184,190,370,354,331,168,169,177,129,2024
Elantra(CN7a),0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Sonata (DN8a),0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Tucson (NX4a),0,수출용,0,0,0,0,0,0,1367,1166,1068,1089,967,1390,2024
Tucson OB (NX4a OB),0,수출용,348,563,384,527,313,555,113,289,193,395,230,404,2024
Santa-Fe (TMa),0,수출용,198,30,9,0,0,0,0,0,0,0,0,0,2024
Santa-Fe (MX5a),0,수출용,80,1233,1829,1205,965,987,859,883,933,682,646,597,2024
Santa-Fe (MX5a HEV),0,수출용,0,0,0,0,0,0,7,0,0,0,0,0,2024
GV70 (JKa),0,수출용,1,0,24,28,24,7,0,0,1,0,0,0,2024
GV70 EV (Jka EV),0,수출용,0,0,1,3,1,1,0,0,1,0,4,0,2024
Ioniq5 (NEa),0,내수용,0,0,0,0,0,0,0,0,0,0,0,1006,2024
Ioniq5 (NEa),0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
 i30 (PDe),0,수출용,5861,4863,5174,4489,6022,5711,5149,3594,5238,4410,1980,2344,2024
 i30 (Pde N),0,수출용,942,1000,1184,984,249,58,333,226,207,282,62,19,2024
 Kona EV (OSe EV),0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
 Kona EV (SX2e EV),0,수출용,3286,3146,2868,2944,2859,3118,2740,2393,2160,1938,3283,2114,2024
 Tucson (TLe),0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
 Tucson (NX4e),0,수출용,12572,12653,10559,12803,13623,9964,9855,7761,12198,10991,12071,11598,2024
 Tucson HEV (NX4e HEV),0,수출용,5763,5563,5266,6871,6535,6966,5476,4884,7113,7961,7339,5391,2024
 Tucson PHEV (NX4e PHEV),0,수출용,2209,1636,1338,2048,2107,2015,2226,1452,1860,2009,1571,1183,2024
Solaris (HCr),0,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Creta (SU2r),0,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Solaris (HCr),0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Creta (SU2r),0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HB20 (BR2),0,내수용,5752,6756,10697,10386,10483,11871,10270,11975,12370,15261,14248,9420,2024
Creta (GSb),0,내수용,534,877,362,1005,890,1341,1343,1192,568,341,13,16,2024
Creta (SU2b),0,내수용,4139,3261,4320,4472,4485,5490,5374,5840,3880,7068,7165,6859,2024
HB20 (BR2),0,수출용,310,1069,862,930,760,1300,721,1197,716,1031,1370,996,2024
Creta (GSb),0,수출용,0,0,48,89,56,64,64,56,56,40,48,0,2024
Creta (SU2b),0,수출용,32,184,72,268,171,106,209,0,345,285,172,179,2024
Stargazer (KS),0,내수용,1615,1964,1063,755,589,1223,600,782,618,715,722,1039,2024
Kona EV (SX2id EV) ,0,내수용,0,0,0,0,0,0,304,165,170,176,434,124,2024
IONIQ5 (NE),0,내수용,752,236,28,27,11,76,62,92,27,44,77,978,2024
IONIQ5 (NEid N),0,내수용,0,0,0,0,0,0,0,0,0,28,10,33,2024
Santa-Fe (TMid),0,내수용,116,23,22,37,27,82,36,42,9,17,31,145,2024
Santa-Fe (MX5id),0,내수용,0,0,0,0,0,0,0,0,0,13,3,3,2024
Santa-Fe (MX5id HEV),0,내수용,0,0,0,0,0,0,0,0,0,177,115,171,2024
Creta (SU2id),0,내수용,1013,877,584,220,193,429,346,449,393,323,108,1066,2024
Stargazer (KS),0,수출용,492,1318,1688,1363,1986,1529,2285,2230,2065,1151,1012,654,2024
Kona EV (SX2id EV) ,0,수출용,0,0,0,0,0,0,0,0,0,1,0,0,2024
IONIQ5 (NE),0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
IONIQ5 (NEid N),0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Santa-Fe (TMid),0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Santa-Fe (MX5id),0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Santa-Fe (MX5id HEV),0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Creta (SU2id),0,수출용,3012,3147,4183,2232,3459,4399,4076,4458,5205,2989,3328,4181,2024
HTBC,0,내수용,50,50,91,94,83,62,80,93,106,162,120,76,2024
HTBC,0,수출용,60,90,68,86,90,121,120,122,101,220,47,11,2024
NX4m,0,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
HCm,0,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
NX4m,0,수출용,0,0,0,0,0,809,2378,2821,2637,3048,2700,2097,2024
HCm,0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
Others,0,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2024
CV,0,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
i10(AI3v 4DR),0,내수용,30,120,118,2,0,142,32,45,60,50,3,30,2024
i10(AI3v 5DR),0,내수용,387,359,301,28,5,270,490,621,560,907,389,301,2024
Accent (HCv),0,내수용,896,775,1178,357,4,0,0,0,0,0,0,0,2024
Accent (BN7v),0,내수용,0,0,0,0,623,828,1557,1551,1539,1592,1220,615,2024
Elantra (CN7v),0,내수용,151,90,87,130,255,223,123,41,227,115,66,65,2024
Venue (QXv),0,내수용,60,4,316,508,698,189,62,40,360,350,290,287,2024
Creta (SU2v),0,내수용,388,316,821,570,660,563,684,694,663,958,988,444,2024
Tucson (NX4v),0,내수용,174,153,325,458,535,380,439,500,248,904,1182,634,2024
Santa Fe (TMv),0,내수용,57,394,448,349,840,615,416,593,13,2,0,0,2024
Santa Fe HEV (TMv HEV),0,내수용,30,0,5,30,0,0,0,0,90,24,1,0,2024
Palisade (LX2v),0,내수용,186,208,96,120,270,93,91,51,150,284,76,74,2024
Kusto (KUv),0,내수용,422,207,89,152,410,147,121,126,411,246,88,7,2024
IONIQ5 (NEv),0,내수용,30,0,0,0,0,29,0,0,1,0,0,0,2024
Porter (HRv),0,내수용,268,181,297,70,447,193,339,0,342,268,62,291,2024
Mighty (LTv),0,내수용,157,113,150,240,90,153,71,198,93,119,210,1,2024
Mighty (VTv),0,내수용,180,12,168,266,154,240,153,156,278,228,0,66,2024
Mighty (QTv),0,내수용,30,30,0,0,30,60,0,90,0,61,0,0,2024
Mighty (QTc),0,내수용,0,0,30,21,39,30,0,28,2,0,0,0,2024
Santa Fe (MX5v),0,내수용,0,0,0,0,0,0,0,0,584,630,1053,418,2024
Mighty (LTv),0,수출용,60,30,0,60,60,0,0,30,60,20,10,60,2024
Truck,0,합계,222,129,160,197,324,254,158,323,135,344,278,90,2024
IONIQ5 (NE),0,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2024
IONIQ6 (CE),0,내수용,0,0,0,0,0,0,0,1,12,5,7,12,2024
IONIQ5 (NE),0,수출용,20,49,82,74,46,38,52,40,18,21,10,9,2024
IONIQ5 Robotaxi (NE R),0,수출용,0,24,0,0,3,0,13,6,0,0,1,0,2024
PV,0,합계,5080,4010,4905,4945,5116,4534,5125,4443,5375,5567,5644,5348,2024
CV,0,합계,30,20,25,34,44,25,50,101,97,40,9,0,2024
Avante (CN7),승용차,내수용,4086,0,0,0,0,0,0,0,0,0,0,0,2025
Avante (CN7 HEV),승용차,내수용,1233,0,0,0,0,0,0,0,0,0,0,0,2025
Avante (CN7 N),승용차,내수용,144,0,0,0,0,0,0,0,0,0,0,0,2025
IONIQ (AE HEV),승용차,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
IONIQ (AE PHEV),승용차,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
IONIQ (AE EV),승용차,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Veloster (JS N),승용차,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Sonata (LF),승용차,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Sonata (DN8),승용차,내수용,1785,0,0,0,0,0,0,0,0,0,0,0,2025
Sonata (DN8 HEV),승용차,내수용,517,0,0,0,0,0,0,0,0,0,0,0,2025
Grandeur (IG),승용차,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Grandeur (IG HEV),승용차,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Grandeur (GN7),승용차,내수용,2613,0,0,0,0,0,0,0,0,0,0,0,2025
Grandeur (GN7 HEV),승용차,내수용,3098,0,0,0,0,0,0,0,0,0,0,0,2025
IONIQ 6 (CE),승용차,내수용,12,0,0,0,0,0,0,0,0,0,0,0,2025
G70 (IK),승용차,내수용,106,0,0,0,0,0,0,0,0,0,0,0,2025
G70 S/B (IK S/B),승용차,내수용,1,0,0,0,0,0,0,0,0,0,0,0,2025
G80 (RG3),승용차,내수용,2710,0,0,0,0,0,0,0,0,0,0,0,2025
G80 (RG3 EV),승용차,내수용,20,0,0,0,0,0,0,0,0,0,0,0,2025
G90,승용차,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
G90 (RS4),승용차,내수용,554,0,0,0,0,0,0,0,0,0,0,0,2025
Casper (AX),레저용 차량,내수용,740,0,0,0,0,0,0,0,0,0,0,0,2025
Casper (AX EV),레저용 차량,내수용,186,0,0,0,0,0,0,0,0,0,0,0,2025
Venue (QX),레저용 차량,내수용,694,0,0,0,0,0,0,0,0,0,0,0,2025
Kona (OS),레저용 차량,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Kona (OS HEV),레저용 차량,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Kona (OS EV),레저용 차량,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Kona (OS N),레저용 차량,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Kona (SX2),레저용 차량,내수용,1510,0,0,0,0,0,0,0,0,0,0,0,2025
Kona (SX2 HEV),레저용 차량,내수용,588,0,0,0,0,0,0,0,0,0,0,0,2025
Kona (SX2 EV),레저용 차량,내수용,43,0,0,0,0,0,0,0,0,0,0,0,2025
Tucson (TL),레저용 차량,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Tucson (NX4),레저용 차량,내수용,2097,0,0,0,0,0,0,0,0,0,0,0,2025
Tucson (NX4 HEV),레저용 차량,내수용,1539,0,0,0,0,0,0,0,0,0,0,0,2025
NEXO (FE),레저용 차량,내수용,24,0,0,0,0,0,0,0,0,0,0,0,2025
IONIQ 5 (NE),레저용 차량,내수용,49,0,0,0,0,0,0,0,0,0,0,0,2025
IONIQ 5 N (NE N),레저용 차량,내수용,26,0,0,0,0,0,0,0,0,0,0,0,2025
Santa-Fe (TM),레저용 차량,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Santa-Fe (TM HEV),레저용 차량,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
Santa-Fe (MX5),레저용 차량,내수용,1005,0,0,0,0,0,0,0,0,0,0,0,2025
Santa-Fe (MX5 HEV),레저용 차량,내수용,3814,0,0,0,0,0,0,0,0,0,0,0,2025
Palisade (LX2),레저용 차량,내수용,1287,0,0,0,0,0,0,0,0,0,0,0,2025
Palisade (LX3),레저용 차량,내수용,1234,0,0,0,0,0,0,0,0,0,0,0,2025
Palisade (LX3 HEV),레저용 차량,내수용,0,0,0,0,0,0,0,0,0,0,0,0,2025
GV60 (JW),레저용 차량,내수용,2,0,0,0,0,0,0,0,0,0,0,0,2025
GV70 (JK),레저용 차량,내수용,2734,0,0,0,0,0,0,0,0,0,0,0,2025
GV70 (JK EV),레저용 차량,내수용,5,0,0,0,0,0,0,0,0,0,0,0,2025
GV80 (JX),레저용 차량,내수용,2534,0,0,0,0,0,0,0,0,0,0,0,2025
GV80 Coupe (JX Coupe),레저용 차량,내수용,158,0,0,0,0,0,0,0,0,0,0,0,2025
LCV,상용차,내수용,5826,0,0,0,0,0,0,0,0,0,0,0,2025
HCV,상용차,내수용,1762,0,0,0,0,0,0,0,0,0,0,0,2025
Avante (CN7),승용차,수출용,10264,0,0,0,0,0,0,0,0,0,0,0,2025
Avante (CN7 HEV),승용차,수출용,3720,0,0,0,0,0,0,0,0,0,0,0,2025
Avante (CN7 N),승용차,수출용,667,0,0,0,0,0,0,0,0,0,0,0,2025
IONIQ (AE HEV),승용차,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
IONIQ (AE PHEV),승용차,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
IONIQ (AE EV),승용차,수출용,0,0,0,0,0,0,0,0,0,0,0,0,2025
