국가명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연도
북미-미국,"24,115","13,005","18,766","20,264","18,915","17,323","24,809","22,290","19,626","21,640","25,130","25,275","2,022"
북미-캐나다,"3,205","3,835","3,759","2,974","4,683","2,279","4,150","3,804","2,714","3,671","4,311","4,785","2,022"
서유럽,"24,586","20,535","17,997","17,796","23,696","19,437","26,706","17,272","20,555","22,962","23,973","24,524","2,022"
동유럽,"11,827","7,423","3,396","3,714","3,324","3,564","5,273","4,235","3,314","3,947","4,643","4,604","2,022"
중남미,"5,295","4,873","6,499","7,537","6,988","6,359","7,160","6,709","6,253","6,036","5,305","5,880","2,022"
중동·아프리카,"9,137","9,740","13,581","10,432","11,003","10,257","12,583","9,035","9,596","10,832","12,476","14,557","2,022"
아시아,"13,074","10,644","16,063","17,165","19,551","12,587","20,496","14,244","12,509","15,289","15,676","13,320","2,022"
