국가,MAE,RMSE,MAPE
동유럽,756.31,981.65,20.14
북미-멕시코,43.57,52.02,311.18
북미-미국,4548.73,5381.21,10.85
북미-캐나다,948.07,1163.97,10.61
서유럽,1387.19,1781.1,12.22
아시아,783.09,1002.58,9.4
중남미,440.49,537.74,11.45
중동·아프리카,1231.84,1538.4,14.24
