Plant,Model,Month,Sales
China Plants,EV5,25-01,699.0
China Plants,KX5,25-01,1875.0
China Plants,Carnival,25-01,99.0
Slovakia Plant,Ceed,25-01,10261.0
Slovakia Plant,Ceed CUV,25-01,2194.0
Slovakia Plant,Sportage,25-01,15245.0
Mexico Plant,Rio,25-01,0.0
Mexico Plant,K3,25-01,5207.0
Mexico Plant,K4,25-01,15456.0
Mexico Plant,Tucson,25-01,2000.0
India Plant,Syros,25-01,5546.0
India Plant,Sonet,25-01,8259.0
India Plant,Seltos,25-01,6584.0
India Plant,Carens,25-01,5797.0
India Plant,Carnival,25-01,293.0
US Plant,K5,25-02,0.0
US Plant,Sportage,25-02,0.0
US Plant,Sorento,25-02,0.0
US Plant,Telluride,25-02,0.0
China Plant,Pegas,25-02,0.0
China Plant,K2,25-02,0.0
China Plant,Cerato,25-02,0.0
China Plant,K3,25-02,0.0
China Plant,K3,25-02,0.0
China Plant,K4,25-02,0.0
China Plant,K5,25-02,0.0
China Plant,KX1,25-02,0.0
China Plant,KX3,25-02,0.0
China Plant,Zhipao,25-02,0.0
China Plant,EV5,25-02,0.0
China Plant,KX5,25-02,0.0
China Plant,KX7,25-02,0.0
China Plant,Carnival,25-02,0.0
Slovakia Plant,Ceed,25-02,0.0
Slovakia Plant,Ceed CUV,25-02,0.0
Slovakia Plant,Sportage,25-02,0.0
Mexico Plant,Rio,25-02,0.0
Mexico Plant,K3,25-02,0.0
Mexico Plant,Accent,25-02,0.0
India Plant,Sonet,25-02,0.0
India Plant,Seltos,25-02,0.0
India Plant,Carens,25-02,0.0
India Plant,Carnival,25-02,0.0
US Plant,K5,25-02,0.0
US Plant,Sportage,25-02,0.0
US Plant,Sorento,25-02,0.0
US Plant,Telluride,25-02,0.0
US Plant,EV9,25-02,0.0
China Plants,Pegas,25-02,0.0
China Plants,K3,25-02,0.0
China Plants,K3,25-02,0.0
China Plants,K4,25-02,0.0
China Plants,K5,25-02,0.0
China Plants,KX1,25-02,0.0
China Plants,Sonet,25-02,0.0
China Plants,KX3,25-02,0.0
China Plants,Zhipao,25-02,0.0
China Plants,EV5,25-02,0.0
China Plants,KX5,25-02,0.0
China Plants,Carnival,25-02,0.0
Slovakia Plant,Ceed,25-02,0.0
Slovakia Plant,Ceed CUV,25-02,0.0
Slovakia Plant,Sportage,25-02,0.0
Mexico Plant,Rio,25-02,0.0
Mexico Plant,K3,25-02,0.0
Mexico Plant,K4,25-02,0.0
Mexico Plant,Tucson,25-02,0.0
India Plant,Sonet,25-02,0.0
India Plant,Seltos,25-02,0.0
India Plant,Carens,25-02,0.0
India Plant,Carnival,25-02,0.0
US Plant,K5,25-02,0.0
US Plant,Sportage,25-02,0.0
US Plant,Sorento,25-02,0.0
US Plant,Telluride,25-02,0.0
US Plant,EV6,25-02,0.0
US Plant,EV9,25-02,0.0
China Plants,Pegas,25-02,0.0
China Plants,K3,25-02,0.0
China Plants,K3,25-02,0.0
China Plants,K5,25-02,0.0
China Plants,KX1,25-02,0.0
China Plants,Sonet,25-02,0.0
China Plants,KX3,25-02,0.0
China Plants,Zhipao,25-02,0.0
China Plants,EV5,25-02,0.0
China Plants,KX5,25-02,0.0
China Plants,Carnival,25-02,0.0
Slovakia Plant,Ceed,25-02,0.0
Slovakia Plant,Ceed CUV,25-02,0.0
Slovakia Plant,Sportage,25-02,0.0
Mexico Plant,Rio,25-02,0.0
Mexico Plant,K3,25-02,0.0
Mexico Plant,K4,25-02,0.0
Mexico Plant,Tucson,25-02,0.0
India Plant,Syros,25-02,0.0
India Plant,Sonet,25-02,0.0
India Plant,Seltos,25-02,0.0
India Plant,Carens,25-02,0.0
India Plant,Carnival,25-02,0.0
US Plant,K5,25-03,0.0
US Plant,Sportage,25-03,0.0
US Plant,Sorento,25-03,0.0
US Plant,Telluride,25-03,0.0
China Plant,Pegas,25-03,0.0
China Plant,K2,25-03,0.0
China Plant,Cerato,25-03,0.0
China Plant,K3,25-03,0.0
China Plant,K3,25-03,0.0
China Plant,K4,25-03,0.0
China Plant,K5,25-03,0.0
China Plant,KX1,25-03,0.0
China Plant,KX3,25-03,0.0
China Plant,Zhipao,25-03,0.0
China Plant,EV5,25-03,0.0
China Plant,KX5,25-03,0.0
China Plant,KX7,25-03,0.0
China Plant,Carnival,25-03,0.0
Slovakia Plant,Ceed,25-03,0.0
Slovakia Plant,Ceed CUV,25-03,0.0
Slovakia Plant,Sportage,25-03,0.0
Mexico Plant,Rio,25-03,0.0
Mexico Plant,K3,25-03,0.0
Mexico Plant,Accent,25-03,0.0
India Plant,Sonet,25-03,0.0
India Plant,Seltos,25-03,0.0
India Plant,Carens,25-03,0.0
India Plant,Carnival,25-03,0.0
US Plant,K5,25-03,0.0
US Plant,Sportage,25-03,0.0
US Plant,Sorento,25-03,0.0
US Plant,Telluride,25-03,0.0
US Plant,EV9,25-03,0.0
China Plants,Pegas,25-03,0.0
China Plants,K3,25-03,0.0
China Plants,K3,25-03,0.0
China Plants,K4,25-03,0.0
China Plants,K5,25-03,0.0
China Plants,KX1,25-03,0.0
China Plants,Sonet,25-03,0.0
China Plants,KX3,25-03,0.0
China Plants,Zhipao,25-03,0.0
China Plants,EV5,25-03,0.0
China Plants,KX5,25-03,0.0
China Plants,Carnival,25-03,0.0
Slovakia Plant,Ceed,25-03,0.0
Slovakia Plant,Ceed CUV,25-03,0.0
Slovakia Plant,Sportage,25-03,0.0
Mexico Plant,Rio,25-03,0.0
Mexico Plant,K3,25-03,0.0
Mexico Plant,K4,25-03,0.0
Mexico Plant,Tucson,25-03,0.0
India Plant,Sonet,25-03,0.0
India Plant,Seltos,25-03,0.0
India Plant,Carens,25-03,0.0
India Plant,Carnival,25-03,0.0
US Plant,K5,25-03,0.0
US Plant,Sportage,25-03,0.0
US Plant,Sorento,25-03,0.0
US Plant,Telluride,25-03,0.0
US Plant,EV6,25-03,0.0
US Plant,EV9,25-03,0.0
China Plants,Pegas,25-03,0.0
China Plants,K3,25-03,0.0
China Plants,K3,25-03,0.0
China Plants,K5,25-03,0.0
China Plants,KX1,25-03,0.0
China Plants,Sonet,25-03,0.0
China Plants,KX3,25-03,0.0
China Plants,Zhipao,25-03,0.0
China Plants,EV5,25-03,0.0
China Plants,KX5,25-03,0.0
China Plants,Carnival,25-03,0.0
Slovakia Plant,Ceed,25-03,0.0
Slovakia Plant,Ceed CUV,25-03,0.0
Slovakia Plant,Sportage,25-03,0.0
Mexico Plant,Rio,25-03,0.0
Mexico Plant,K3,25-03,0.0
Mexico Plant,K4,25-03,0.0
Mexico Plant,Tucson,25-03,0.0
India Plant,Syros,25-03,0.0
India Plant,Sonet,25-03,0.0
India Plant,Seltos,25-03,0.0
India Plant,Carens,25-03,0.0
India Plant,Carnival,25-03,0.0
US Plant,K5,25-04,0.0
US Plant,Sportage,25-04,0.0
US Plant,Sorento,25-04,0.0
US Plant,Telluride,25-04,0.0
China Plant,Pegas,25-04,0.0
China Plant,K2,25-04,0.0
China Plant,Cerato,25-04,0.0
China Plant,K3,25-04,0.0
China Plant,K3,25-04,0.0
China Plant,K4,25-04,0.0
China Plant,K5,25-04,0.0
China Plant,KX1,25-04,0.0
China Plant,KX3,25-04,0.0
China Plant,Zhipao,25-04,0.0
China Plant,EV5,25-04,0.0
China Plant,KX5,25-04,0.0
China Plant,KX7,25-04,0.0
China Plant,Carnival,25-04,0.0
Slovakia Plant,Ceed,25-04,0.0
Slovakia Plant,Ceed CUV,25-04,0.0
Slovakia Plant,Sportage,25-04,0.0
Mexico Plant,Rio,25-04,0.0
Mexico Plant,K3,25-04,0.0
Mexico Plant,Accent,25-04,0.0
India Plant,Sonet,25-04,0.0
India Plant,Seltos,25-04,0.0
India Plant,Carens,25-04,0.0
India Plant,Carnival,25-04,0.0
US Plant,K5,25-04,0.0
US Plant,Sportage,25-04,0.0
US Plant,Sorento,25-04,0.0
US Plant,Telluride,25-04,0.0
US Plant,EV9,25-04,0.0
China Plants,Pegas,25-04,0.0
China Plants,K3,25-04,0.0
China Plants,K3,25-04,0.0
China Plants,K4,25-04,0.0
China Plants,K5,25-04,0.0
China Plants,KX1,25-04,0.0
China Plants,Sonet,25-04,0.0
China Plants,KX3,25-04,0.0
China Plants,Zhipao,25-04,0.0
China Plants,EV5,25-04,0.0
China Plants,KX5,25-04,0.0
China Plants,Carnival,25-04,0.0
Slovakia Plant,Ceed,25-04,0.0
Slovakia Plant,Ceed CUV,25-04,0.0
Slovakia Plant,Sportage,25-04,0.0
Mexico Plant,Rio,25-04,0.0
Mexico Plant,K3,25-04,0.0
Mexico Plant,K4,25-04,0.0
Mexico Plant,Tucson,25-04,0.0
India Plant,Sonet,25-04,0.0
India Plant,Seltos,25-04,0.0
India Plant,Carens,25-04,0.0
India Plant,Carnival,25-04,0.0
US Plant,K5,25-04,0.0
US Plant,Sportage,25-04,0.0
US Plant,Sorento,25-04,0.0
US Plant,Telluride,25-04,0.0
US Plant,EV6,25-04,0.0
US Plant,EV9,25-04,0.0
China Plants,Pegas,25-04,0.0
China Plants,K3,25-04,0.0
China Plants,K3,25-04,0.0
China Plants,K5,25-04,0.0
China Plants,KX1,25-04,0.0
China Plants,Sonet,25-04,0.0
China Plants,KX3,25-04,0.0
China Plants,Zhipao,25-04,0.0
China Plants,EV5,25-04,0.0
China Plants,KX5,25-04,0.0
China Plants,Carnival,25-04,0.0
Slovakia Plant,Ceed,25-04,0.0
Slovakia Plant,Ceed CUV,25-04,0.0
Slovakia Plant,Sportage,25-04,0.0
Mexico Plant,Rio,25-04,0.0
Mexico Plant,K3,25-04,0.0
Mexico Plant,K4,25-04,0.0
Mexico Plant,Tucson,25-04,0.0
India Plant,Syros,25-04,0.0
India Plant,Sonet,25-04,0.0
India Plant,Seltos,25-04,0.0
India Plant,Carens,25-04,0.0
India Plant,Carnival,25-04,0.0
US Plant,K5,25-05,0.0
US Plant,Sportage,25-05,0.0
US Plant,Sorento,25-05,0.0
US Plant,Telluride,25-05,0.0
China Plant,Pegas,25-05,0.0
China Plant,K2,25-05,0.0
China Plant,Cerato,25-05,0.0
China Plant,K3,25-05,0.0
China Plant,K3,25-05,0.0
China Plant,K4,25-05,0.0
China Plant,K5,25-05,0.0
China Plant,KX1,25-05,0.0
China Plant,KX3,25-05,0.0
China Plant,Zhipao,25-05,0.0
China Plant,EV5,25-05,0.0
China Plant,KX5,25-05,0.0
China Plant,KX7,25-05,0.0
China Plant,Carnival,25-05,0.0
Slovakia Plant,Ceed,25-05,0.0
Slovakia Plant,Ceed CUV,25-05,0.0
Slovakia Plant,Sportage,25-05,0.0
Mexico Plant,Rio,25-05,0.0
Mexico Plant,K3,25-05,0.0
Mexico Plant,Accent,25-05,0.0
India Plant,Sonet,25-05,0.0
India Plant,Seltos,25-05,0.0
India Plant,Carens,25-05,0.0
India Plant,Carnival,25-05,0.0
US Plant,K5,25-05,0.0
US Plant,Sportage,25-05,0.0
US Plant,Sorento,25-05,0.0
US Plant,Telluride,25-05,0.0
US Plant,EV9,25-05,0.0
China Plants,Pegas,25-05,0.0
China Plants,K3,25-05,0.0
China Plants,K3,25-05,0.0
China Plants,K4,25-05,0.0
China Plants,K5,25-05,0.0
China Plants,KX1,25-05,0.0
China Plants,Sonet,25-05,0.0
China Plants,KX3,25-05,0.0
China Plants,Zhipao,25-05,0.0
China Plants,EV5,25-05,0.0
China Plants,KX5,25-05,0.0
China Plants,Carnival,25-05,0.0
Slovakia Plant,Ceed,25-05,0.0
Slovakia Plant,Ceed CUV,25-05,0.0
Slovakia Plant,Sportage,25-05,0.0
Mexico Plant,Rio,25-05,0.0
Mexico Plant,K3,25-05,0.0
Mexico Plant,K4,25-05,0.0
Mexico Plant,Tucson,25-05,0.0
India Plant,Sonet,25-05,0.0
India Plant,Seltos,25-05,0.0
India Plant,Carens,25-05,0.0
India Plant,Carnival,25-05,0.0
US Plant,K5,25-05,0.0
US Plant,Sportage,25-05,0.0
US Plant,Sorento,25-05,0.0
US Plant,Telluride,25-05,0.0
US Plant,EV6,25-05,0.0
US Plant,EV9,25-05,0.0
China Plants,Pegas,25-05,0.0
China Plants,K3,25-05,0.0
China Plants,K3,25-05,0.0
China Plants,K5,25-05,0.0
China Plants,KX1,25-05,0.0
China Plants,Sonet,25-05,0.0
China Plants,KX3,25-05,0.0
China Plants,Zhipao,25-05,0.0
China Plants,EV5,25-05,0.0
China Plants,KX5,25-05,0.0
China Plants,Carnival,25-05,0.0
Slovakia Plant,Ceed,25-05,0.0
Slovakia Plant,Ceed CUV,25-05,0.0
Slovakia Plant,Sportage,25-05,0.0
Mexico Plant,Rio,25-05,0.0
Mexico Plant,K3,25-05,0.0
Mexico Plant,K4,25-05,0.0
Mexico Plant,Tucson,25-05,0.0
India Plant,Syros,25-05,0.0
India Plant,Sonet,25-05,0.0
India Plant,Seltos,25-05,0.0
India Plant,Carens,25-05,0.0
India Plant,Carnival,25-05,0.0
US Plant,K5,25-06,0.0
US Plant,Sportage,25-06,0.0
US Plant,Sorento,25-06,0.0
US Plant,Telluride,25-06,0.0
China Plant,Pegas,25-06,0.0
China Plant,K2,25-06,0.0
China Plant,Cerato,25-06,0.0
China Plant,K3,25-06,0.0
China Plant,K3,25-06,0.0
China Plant,K4,25-06,0.0
China Plant,K5,25-06,0.0
China Plant,KX1,25-06,0.0
China Plant,KX3,25-06,0.0
China Plant,Zhipao,25-06,0.0
China Plant,EV5,25-06,0.0
China Plant,KX5,25-06,0.0
China Plant,KX7,25-06,0.0
China Plant,Carnival,25-06,0.0
Slovakia Plant,Ceed,25-06,0.0
Slovakia Plant,Ceed CUV,25-06,0.0
Slovakia Plant,Sportage,25-06,0.0
Mexico Plant,Rio,25-06,0.0
Mexico Plant,K3,25-06,0.0
Mexico Plant,Accent,25-06,0.0
India Plant,Sonet,25-06,0.0
India Plant,Seltos,25-06,0.0
India Plant,Carens,25-06,0.0
India Plant,Carnival,25-06,0.0
US Plant,K5,25-06,0.0
US Plant,Sportage,25-06,0.0
US Plant,Sorento,25-06,0.0
US Plant,Telluride,25-06,0.0
US Plant,EV9,25-06,0.0
China Plants,Pegas,25-06,0.0
China Plants,K3,25-06,0.0
China Plants,K3,25-06,0.0
China Plants,K4,25-06,0.0
China Plants,K5,25-06,0.0
China Plants,KX1,25-06,0.0
China Plants,Sonet,25-06,0.0
China Plants,KX3,25-06,0.0
China Plants,Zhipao,25-06,0.0
China Plants,EV5,25-06,0.0
China Plants,KX5,25-06,0.0
China Plants,Carnival,25-06,0.0
Slovakia Plant,Ceed,25-06,0.0
Slovakia Plant,Ceed CUV,25-06,0.0
Slovakia Plant,Sportage,25-06,0.0
Mexico Plant,Rio,25-06,0.0
Mexico Plant,K3,25-06,0.0
Mexico Plant,K4,25-06,0.0
Mexico Plant,Tucson,25-06,0.0
India Plant,Sonet,25-06,0.0
India Plant,Seltos,25-06,0.0
India Plant,Carens,25-06,0.0
India Plant,Carnival,25-06,0.0
US Plant,K5,25-06,0.0
US Plant,Sportage,25-06,0.0
US Plant,Sorento,25-06,0.0
US Plant,Telluride,25-06,0.0
US Plant,EV6,25-06,0.0
US Plant,EV9,25-06,0.0
China Plants,Pegas,25-06,0.0
China Plants,K3,25-06,0.0
China Plants,K3,25-06,0.0
China Plants,K5,25-06,0.0
China Plants,KX1,25-06,0.0
China Plants,Sonet,25-06,0.0
China Plants,KX3,25-06,0.0
China Plants,Zhipao,25-06,0.0
China Plants,EV5,25-06,0.0
China Plants,KX5,25-06,0.0
China Plants,Carnival,25-06,0.0
Slovakia Plant,Ceed,25-06,0.0
Slovakia Plant,Ceed CUV,25-06,0.0
Slovakia Plant,Sportage,25-06,0.0
Mexico Plant,Rio,25-06,0.0
Mexico Plant,K3,25-06,0.0
Mexico Plant,K4,25-06,0.0
Mexico Plant,Tucson,25-06,0.0
India Plant,Syros,25-06,0.0
India Plant,Sonet,25-06,0.0
India Plant,Seltos,25-06,0.0
India Plant,Carens,25-06,0.0
India Plant,Carnival,25-06,0.0
US Plant,K5,25-07,0.0
US Plant,Sportage,25-07,0.0
US Plant,Sorento,25-07,0.0
US Plant,Telluride,25-07,0.0
China Plant,Pegas,25-07,0.0
China Plant,K2,25-07,0.0
China Plant,Cerato,25-07,0.0
China Plant,K3,25-07,0.0
China Plant,K3,25-07,0.0
China Plant,K4,25-07,0.0
China Plant,K5,25-07,0.0
China Plant,KX1,25-07,0.0
China Plant,KX3,25-07,0.0
China Plant,Zhipao,25-07,0.0
China Plant,EV5,25-07,0.0
China Plant,KX5,25-07,0.0
China Plant,KX7,25-07,0.0
China Plant,Carnival,25-07,0.0
Slovakia Plant,Ceed,25-07,0.0
Slovakia Plant,Ceed CUV,25-07,0.0
Slovakia Plant,Sportage,25-07,0.0
Mexico Plant,Rio,25-07,0.0
Mexico Plant,K3,25-07,0.0
Mexico Plant,Accent,25-07,0.0
India Plant,Sonet,25-07,0.0
India Plant,Seltos,25-07,0.0
India Plant,Carens,25-07,0.0
India Plant,Carnival,25-07,0.0
US Plant,K5,25-07,0.0
US Plant,Sportage,25-07,0.0
US Plant,Sorento,25-07,0.0
US Plant,Telluride,25-07,0.0
US Plant,EV9,25-07,0.0
China Plants,Pegas,25-07,0.0
China Plants,K3,25-07,0.0
China Plants,K3,25-07,0.0
China Plants,K4,25-07,0.0
China Plants,K5,25-07,0.0
China Plants,KX1,25-07,0.0
China Plants,Sonet,25-07,0.0
China Plants,KX3,25-07,0.0
China Plants,Zhipao,25-07,0.0
China Plants,EV5,25-07,0.0
China Plants,KX5,25-07,0.0
China Plants,Carnival,25-07,0.0
Slovakia Plant,Ceed,25-07,0.0
Slovakia Plant,Ceed CUV,25-07,0.0
Slovakia Plant,Sportage,25-07,0.0
Mexico Plant,Rio,25-07,0.0
Mexico Plant,K3,25-07,0.0
Mexico Plant,K4,25-07,0.0
Mexico Plant,Tucson,25-07,0.0
India Plant,Sonet,25-07,0.0
India Plant,Seltos,25-07,0.0
India Plant,Carens,25-07,0.0
India Plant,Carnival,25-07,0.0
US Plant,K5,25-07,0.0
US Plant,Sportage,25-07,0.0
US Plant,Sorento,25-07,0.0
US Plant,Telluride,25-07,0.0
US Plant,EV6,25-07,0.0
US Plant,EV9,25-07,0.0
China Plants,Pegas,25-07,0.0
China Plants,K3,25-07,0.0
China Plants,K3,25-07,0.0
China Plants,K5,25-07,0.0
China Plants,KX1,25-07,0.0
China Plants,Sonet,25-07,0.0
China Plants,KX3,25-07,0.0
China Plants,Zhipao,25-07,0.0
China Plants,EV5,25-07,0.0
China Plants,KX5,25-07,0.0
China Plants,Carnival,25-07,0.0
Slovakia Plant,Ceed,25-07,0.0
Slovakia Plant,Ceed CUV,25-07,0.0
Slovakia Plant,Sportage,25-07,0.0
Mexico Plant,Rio,25-07,0.0
Mexico Plant,K3,25-07,0.0
Mexico Plant,K4,25-07,0.0
Mexico Plant,Tucson,25-07,0.0
India Plant,Syros,25-07,0.0
India Plant,Sonet,25-07,0.0
India Plant,Seltos,25-07,0.0
India Plant,Carens,25-07,0.0
India Plant,Carnival,25-07,0.0
US Plant,K5,25-08,0.0
US Plant,Sportage,25-08,0.0
US Plant,Sorento,25-08,0.0
US Plant,Telluride,25-08,0.0
China Plant,Pegas,25-08,0.0
China Plant,K2,25-08,0.0
China Plant,Cerato,25-08,0.0
China Plant,K3,25-08,0.0
China Plant,K3,25-08,0.0
China Plant,K4,25-08,0.0
China Plant,K5,25-08,0.0
China Plant,KX1,25-08,0.0
China Plant,KX3,25-08,0.0
China Plant,Zhipao,25-08,0.0
China Plant,EV5,25-08,0.0
China Plant,KX5,25-08,0.0
China Plant,KX7,25-08,0.0
China Plant,Carnival,25-08,0.0
Slovakia Plant,Ceed,25-08,0.0
Slovakia Plant,Ceed CUV,25-08,0.0
Slovakia Plant,Sportage,25-08,0.0
Mexico Plant,Rio,25-08,0.0
Mexico Plant,K3,25-08,0.0
Mexico Plant,Accent,25-08,0.0
India Plant,Sonet,25-08,0.0
India Plant,Seltos,25-08,0.0
India Plant,Carens,25-08,0.0
India Plant,Carnival,25-08,0.0
US Plant,K5,25-08,0.0
US Plant,Sportage,25-08,0.0
US Plant,Sorento,25-08,0.0
US Plant,Telluride,25-08,0.0
US Plant,EV9,25-08,0.0
China Plants,Pegas,25-08,0.0
China Plants,K3,25-08,0.0
China Plants,K3,25-08,0.0
China Plants,K4,25-08,0.0
China Plants,K5,25-08,0.0
China Plants,KX1,25-08,0.0
China Plants,Sonet,25-08,0.0
China Plants,KX3,25-08,0.0
China Plants,Zhipao,25-08,0.0
China Plants,EV5,25-08,0.0
China Plants,KX5,25-08,0.0
China Plants,Carnival,25-08,0.0
Slovakia Plant,Ceed,25-08,0.0
Slovakia Plant,Ceed CUV,25-08,0.0
Slovakia Plant,Sportage,25-08,0.0
Mexico Plant,Rio,25-08,0.0
Mexico Plant,K3,25-08,0.0
Mexico Plant,K4,25-08,0.0
Mexico Plant,Tucson,25-08,0.0
India Plant,Sonet,25-08,0.0
India Plant,Seltos,25-08,0.0
India Plant,Carens,25-08,0.0
India Plant,Carnival,25-08,0.0
US Plant,K5,25-08,0.0
US Plant,Sportage,25-08,0.0
US Plant,Sorento,25-08,0.0
US Plant,Telluride,25-08,0.0
US Plant,EV6,25-08,0.0
US Plant,EV9,25-08,0.0
China Plants,Pegas,25-08,0.0
China Plants,K3,25-08,0.0
China Plants,K3,25-08,0.0
China Plants,K5,25-08,0.0
China Plants,KX1,25-08,0.0
China Plants,Sonet,25-08,0.0
China Plants,KX3,25-08,0.0
China Plants,Zhipao,25-08,0.0
China Plants,EV5,25-08,0.0
China Plants,KX5,25-08,0.0
China Plants,Carnival,25-08,0.0
Slovakia Plant,Ceed,25-08,0.0
Slovakia Plant,Ceed CUV,25-08,0.0
Slovakia Plant,Sportage,25-08,0.0
Mexico Plant,Rio,25-08,0.0
Mexico Plant,K3,25-08,0.0
Mexico Plant,K4,25-08,0.0
Mexico Plant,Tucson,25-08,0.0
India Plant,Syros,25-08,0.0
India Plant,Sonet,25-08,0.0
India Plant,Seltos,25-08,0.0
India Plant,Carens,25-08,0.0
India Plant,Carnival,25-08,0.0
US Plant,K5,25-09,0.0
US Plant,Sportage,25-09,0.0
US Plant,Sorento,25-09,0.0
US Plant,Telluride,25-09,0.0
China Plant,Pegas,25-09,0.0
China Plant,K2,25-09,0.0
China Plant,Cerato,25-09,0.0
China Plant,K3,25-09,0.0
China Plant,K3,25-09,0.0
China Plant,K4,25-09,0.0
China Plant,K5,25-09,0.0
China Plant,KX1,25-09,0.0
China Plant,KX3,25-09,0.0
China Plant,Zhipao,25-09,0.0
China Plant,EV5,25-09,0.0
China Plant,KX5,25-09,0.0
China Plant,KX7,25-09,0.0
China Plant,Carnival,25-09,0.0
Slovakia Plant,Ceed,25-09,0.0
Slovakia Plant,Ceed CUV,25-09,0.0
Slovakia Plant,Sportage,25-09,0.0
Mexico Plant,Rio,25-09,0.0
Mexico Plant,K3,25-09,0.0
Mexico Plant,Accent,25-09,0.0
India Plant,Sonet,25-09,0.0
India Plant,Seltos,25-09,0.0
India Plant,Carens,25-09,0.0
India Plant,Carnival,25-09,0.0
US Plant,K5,25-09,0.0
US Plant,Sportage,25-09,0.0
US Plant,Sorento,25-09,0.0
US Plant,Telluride,25-09,0.0
US Plant,EV9,25-09,0.0
China Plants,Pegas,25-09,0.0
China Plants,K3,25-09,0.0
China Plants,K3,25-09,0.0
China Plants,K4,25-09,0.0
China Plants,K5,25-09,0.0
China Plants,KX1,25-09,0.0
China Plants,Sonet,25-09,0.0
China Plants,KX3,25-09,0.0
China Plants,Zhipao,25-09,0.0
China Plants,EV5,25-09,0.0
China Plants,KX5,25-09,0.0
China Plants,Carnival,25-09,0.0
Slovakia Plant,Ceed,25-09,0.0
Slovakia Plant,Ceed CUV,25-09,0.0
Slovakia Plant,Sportage,25-09,0.0
Mexico Plant,Rio,25-09,0.0
Mexico Plant,K3,25-09,0.0
Mexico Plant,K4,25-09,0.0
Mexico Plant,Tucson,25-09,0.0
India Plant,Sonet,25-09,0.0
India Plant,Seltos,25-09,0.0
India Plant,Carens,25-09,0.0
India Plant,Carnival,25-09,0.0
US Plant,K5,25-09,0.0
US Plant,Sportage,25-09,0.0
US Plant,Sorento,25-09,0.0
US Plant,Telluride,25-09,0.0
US Plant,EV6,25-09,0.0
US Plant,EV9,25-09,0.0
China Plants,Pegas,25-09,0.0
China Plants,K3,25-09,0.0
China Plants,K3,25-09,0.0
China Plants,K5,25-09,0.0
China Plants,KX1,25-09,0.0
China Plants,Sonet,25-09,0.0
China Plants,KX3,25-09,0.0
China Plants,Zhipao,25-09,0.0
China Plants,EV5,25-09,0.0
China Plants,KX5,25-09,0.0
China Plants,Carnival,25-09,0.0
Slovakia Plant,Ceed,25-09,0.0
Slovakia Plant,Ceed CUV,25-09,0.0
Slovakia Plant,Sportage,25-09,0.0
Mexico Plant,Rio,25-09,0.0
Mexico Plant,K3,25-09,0.0
Mexico Plant,K4,25-09,0.0
Mexico Plant,Tucson,25-09,0.0
India Plant,Syros,25-09,0.0
India Plant,Sonet,25-09,0.0
India Plant,Seltos,25-09,0.0
India Plant,Carens,25-09,0.0
India Plant,Carnival,25-09,0.0
US Plant,K5,25-10,0.0
US Plant,Sportage,25-10,0.0
US Plant,Sorento,25-10,0.0
US Plant,Telluride,25-10,0.0
China Plant,Pegas,25-10,0.0
China Plant,K2,25-10,0.0
China Plant,Cerato,25-10,0.0
China Plant,K3,25-10,0.0
China Plant,K3,25-10,0.0
China Plant,K4,25-10,0.0
China Plant,K5,25-10,0.0
China Plant,KX1,25-10,0.0
China Plant,KX3,25-10,0.0
China Plant,Zhipao,25-10,0.0
China Plant,EV5,25-10,0.0
China Plant,KX5,25-10,0.0
China Plant,KX7,25-10,0.0
China Plant,Carnival,25-10,0.0
Slovakia Plant,Ceed,25-10,0.0
Slovakia Plant,Ceed CUV,25-10,0.0
Slovakia Plant,Sportage,25-10,0.0
Mexico Plant,Rio,25-10,0.0
Mexico Plant,K3,25-10,0.0
Mexico Plant,Accent,25-10,0.0
India Plant,Sonet,25-10,0.0
India Plant,Seltos,25-10,0.0
India Plant,Carens,25-10,0.0
India Plant,Carnival,25-10,0.0
US Plant,K5,25-10,0.0
US Plant,Sportage,25-10,0.0
US Plant,Sorento,25-10,0.0
US Plant,Telluride,25-10,0.0
US Plant,EV9,25-10,0.0
China Plants,Pegas,25-10,0.0
China Plants,K3,25-10,0.0
China Plants,K3,25-10,0.0
China Plants,K4,25-10,0.0
China Plants,K5,25-10,0.0
China Plants,KX1,25-10,0.0
China Plants,Sonet,25-10,0.0
China Plants,KX3,25-10,0.0
China Plants,Zhipao,25-10,0.0
China Plants,EV5,25-10,0.0
China Plants,KX5,25-10,0.0
China Plants,Carnival,25-10,0.0
Slovakia Plant,Ceed,25-10,0.0
Slovakia Plant,Ceed CUV,25-10,0.0
Slovakia Plant,Sportage,25-10,0.0
Mexico Plant,Rio,25-10,0.0
Mexico Plant,K3,25-10,0.0
Mexico Plant,K4,25-10,0.0
Mexico Plant,Tucson,25-10,0.0
India Plant,Sonet,25-10,0.0
India Plant,Seltos,25-10,0.0
India Plant,Carens,25-10,0.0
India Plant,Carnival,25-10,0.0
US Plant,K5,25-10,0.0
US Plant,Sportage,25-10,0.0
US Plant,Sorento,25-10,0.0
US Plant,Telluride,25-10,0.0
US Plant,EV6,25-10,0.0
US Plant,EV9,25-10,0.0
China Plants,Pegas,25-10,0.0
China Plants,K3,25-10,0.0
China Plants,K3,25-10,0.0
China Plants,K5,25-10,0.0
China Plants,KX1,25-10,0.0
China Plants,Sonet,25-10,0.0
China Plants,KX3,25-10,0.0
China Plants,Zhipao,25-10,0.0
China Plants,EV5,25-10,0.0
China Plants,KX5,25-10,0.0
China Plants,Carnival,25-10,0.0
